codice,categoria,n_frasi,n_caratteri,path,note
veneto,dialetto_italiano,2009,259482,flores_plus\veneto.txt,Veneto | dev=997 + devtest=1012
siciliano,dialetto_italiano,2009,271175,flores_plus\siciliano.txt,Siciliano | dev=997 + devtest=1012
lombardo,dialetto_italiano,2009,276187,flores_plus\lombardo.txt,Lombardo | dev=997 + devtest=1012
sardo,dialetto_italiano,2009,299345,flores_plus\sardo.txt,Sardo | dev=997 + devtest=1012
ligure,dialetto_italiano,2009,283932,flores_plus\ligure.txt,Ligure (Genovese) | dev=997 + devtest=1012
friulano,dialetto_italiano,2009,282036,flores_plus\friulano.txt,Friulano | dev=997 + devtest=1012
italiano,italiano,2009,303228,flores_plus\italiano.txt,Italiano | dev=997 + devtest=1012
inglese,esterna,2009,257160,flores_plus\inglese.txt,Inglese | dev=997 + devtest=1012
spagnolo,esterna,2009,306170,flores_plus\spagnolo.txt,Spagnolo | dev=997 + devtest=1012
francese,esterna,2009,306427,flores_plus\francese.txt,Francese | dev=997 + devtest=1012
catalano,esterna,2009,283815,flores_plus\catalano.txt,Catalano | dev=997 + devtest=1012
occitano,esterna,2009,292934,flores_plus\occitano.txt,Occitano | dev=997 + devtest=1012
portoghese,esterna,2009,279427,flores_plus\portoghese.txt,Portoghese | dev=997 + devtest=1012
tedesco,esterna,2009,300367,flores_plus\tedesco.txt,Tedesco | dev=997 + devtest=1012
croato,esterna,2009,252596,flores_plus\croato.txt,Croato | dev=997 + devtest=1012
sloveno,esterna,2009,256299,flores_plus\sloveno.txt,Sloveno | dev=997 + devtest=1012
ungherese,esterna,2009,270647,flores_plus\ungherese.txt,Ungherese | dev=997 + devtest=1012
ALL,parallel_tsv,2009,4781227,flores_plus\parallel.tsv,"parallelo: 17 lingue, 997 dev + 1012 devtest | colonne: veneto,siciliano,lombardo,sardo,ligure,friulano,italiano,inglese,spagnolo,francese,catalano,tedesco,sloveno,croato,occitano,portoghese,ungherese"
