article_id,title,url,n_sentences
5,Liste di Stâts dal mont,https://fur.wikipedia.org/wiki?curid=5,2
6,Italie,https://fur.wikipedia.org/wiki?curid=6,2
7,Lenghe furlane,https://fur.wikipedia.org/wiki?curid=7,19
8,Friûl,https://fur.wikipedia.org/wiki?curid=8,119
18,Austrie,https://fur.wikipedia.org/wiki?curid=18,26
28,Vichipedie,https://fur.wikipedia.org/wiki?curid=28,17
30,Udin,https://fur.wikipedia.org/wiki?curid=30,21
53,Slovenie,https://fur.wikipedia.org/wiki?curid=53,16
61,Gurize,https://fur.wikipedia.org/wiki?curid=61,19
62,Gjermanie,https://fur.wikipedia.org/wiki?curid=62,19
63,Europe,https://fur.wikipedia.org/wiki?curid=63,4
70,Ordenadôr,https://fur.wikipedia.org/wiki?curid=70,28
72,Euro,https://fur.wikipedia.org/wiki?curid=72,6
73,Rome,https://fur.wikipedia.org/wiki?curid=73,13
74,Botaniche,https://fur.wikipedia.org/wiki?curid=74,2
75,Matematiche,https://fur.wikipedia.org/wiki?curid=75,69
76,Dlh Posse,https://fur.wikipedia.org/wiki?curid=76,3
77,3 di Avrîl,https://fur.wikipedia.org/wiki?curid=77,1
80,Plantis,https://fur.wikipedia.org/wiki?curid=80,4
83,Pape Zuan Pauli II,https://fur.wikipedia.org/wiki?curid=83,8
84,Gjeografie,https://fur.wikipedia.org/wiki?curid=84,1
85,Calendari dai acjadiments,https://fur.wikipedia.org/wiki?curid=85,1
92,Lunis,https://fur.wikipedia.org/wiki?curid=92,4
93,Miercus,https://fur.wikipedia.org/wiki?curid=93,3
94,Martars,https://fur.wikipedia.org/wiki?curid=94,4
96,Joibe,https://fur.wikipedia.org/wiki?curid=96,5
97,Vinars,https://fur.wikipedia.org/wiki?curid=97,7
98,Santiago de Compostela,https://fur.wikipedia.org/wiki?curid=98,2
99,Sabide,https://fur.wikipedia.org/wiki?curid=99,7
100,Pape Benedet XVI,https://fur.wikipedia.org/wiki?curid=100,3
102,Domenie,https://fur.wikipedia.org/wiki?curid=102,2
105,Mozilla Firefox,https://fur.wikipedia.org/wiki?curid=105,18
106,Setemane,https://fur.wikipedia.org/wiki?curid=106,8
113,6 di Mai,https://fur.wikipedia.org/wiki?curid=113,1
114,Calendari Gregorian,https://fur.wikipedia.org/wiki?curid=114,5
115,Tumieç,https://fur.wikipedia.org/wiki?curid=115,14
121,Çarvignan,https://fur.wikipedia.org/wiki?curid=121,13
122,Ermes di Colorêt,https://fur.wikipedia.org/wiki?curid=122,6
124,Informatiche,https://fur.wikipedia.org/wiki?curid=124,3
175,Berne,https://fur.wikipedia.org/wiki?curid=175,3
236,Pordenon,https://fur.wikipedia.org/wiki?curid=236,11
243,Machine di Turing,https://fur.wikipedia.org/wiki?curid=243,3
291,Zenâr,https://fur.wikipedia.org/wiki?curid=291,3
303,Fevrâr,https://fur.wikipedia.org/wiki?curid=303,4
315,Març,https://fur.wikipedia.org/wiki?curid=315,3
329,Avrîl,https://fur.wikipedia.org/wiki?curid=329,2
331,Mai,https://fur.wikipedia.org/wiki?curid=331,3
333,Jugn,https://fur.wikipedia.org/wiki?curid=333,2
337,Lui,https://fur.wikipedia.org/wiki?curid=337,3
340,Spilimberc,https://fur.wikipedia.org/wiki?curid=340,4
1096,Avost,https://fur.wikipedia.org/wiki?curid=1096,3
