article_id,title,url,n_sentences
781,Casteddu,https://sc.wikipedia.org/wiki?curid=781,27
782,Capitale,https://sc.wikipedia.org/wiki?curid=782,2
788,Limba còssa,https://sc.wikipedia.org/wiki?curid=788,6
791,Launeddas,https://sc.wikipedia.org/wiki?curid=791,34
1028,Calendàriu,https://sc.wikipedia.org/wiki?curid=1028,20
1029,Porcu,https://sc.wikipedia.org/wiki?curid=1029,1
1045,Baca,https://sc.wikipedia.org/wiki?curid=1045,7
1048,Equus africanus asinus,https://sc.wikipedia.org/wiki?curid=1048,7
1049,Canisca,https://sc.wikipedia.org/wiki?curid=1049,1
1054,Limba sarda,https://sc.wikipedia.org/wiki?curid=1054,389
1055,Polìtiga,https://sc.wikipedia.org/wiki?curid=1055,1
1058,Limba italiana,https://sc.wikipedia.org/wiki?curid=1058,42
1059,Limba romuna,https://sc.wikipedia.org/wiki?curid=1059,11
1060,Limba frantzesa,https://sc.wikipedia.org/wiki?curid=1060,6
1063,Nùgoro,https://sc.wikipedia.org/wiki?curid=1063,91
1064,Fìsica,https://sc.wikipedia.org/wiki?curid=1064,11
1163,GNU Free Documentation License,https://sc.wikipedia.org/wiki?curid=1163,24
1165,Itàlia,https://sc.wikipedia.org/wiki?curid=1165,47
1167,Wikipedia,https://sc.wikipedia.org/wiki?curid=1167,86
1169,Lege,https://sc.wikipedia.org/wiki?curid=1169,5
1193,Limba Sarda Unificada,https://sc.wikipedia.org/wiki?curid=1193,8
1224,Futei,https://sc.wikipedia.org/wiki?curid=1224,30
1225,Bolzanu,https://sc.wikipedia.org/wiki?curid=1225,4
1638,Decraratzione Universale de sos Deretos de s'Òmine,https://sc.wikipedia.org/wiki?curid=1638,7
1657,Nintendo World Cup,https://sc.wikipedia.org/wiki?curid=1657,8
1658,Fotografia,https://sc.wikipedia.org/wiki?curid=1658,3
1660,Bennàlzu,https://sc.wikipedia.org/wiki?curid=1660,1
1661,Freàrgiu,https://sc.wikipedia.org/wiki?curid=1661,2
1666,Limbas,https://sc.wikipedia.org/wiki?curid=1666,7
1669,Atzara,https://sc.wikipedia.org/wiki?curid=1669,34
1673,Enciclopedia,https://sc.wikipedia.org/wiki?curid=1673,6
1674,Martzu,https://sc.wikipedia.org/wiki?curid=1674,1
1675,Limbas romanzas,https://sc.wikipedia.org/wiki?curid=1675,46
1676,Provìntzia de Nùgoro,https://sc.wikipedia.org/wiki?curid=1676,6
1677,Ispagna,https://sc.wikipedia.org/wiki?curid=1677,6
1678,Frantza,https://sc.wikipedia.org/wiki?curid=1678,29
1679,Germània,https://sc.wikipedia.org/wiki?curid=1679,2
1680,Portugallu,https://sc.wikipedia.org/wiki?curid=1680,19
1681,Lisbona,https://sc.wikipedia.org/wiki?curid=1681,2
1684,Òmine,https://sc.wikipedia.org/wiki?curid=1684,4
1697,Diegu Corràine,https://sc.wikipedia.org/wiki?curid=1697,13
1700,Europa,https://sc.wikipedia.org/wiki?curid=1700,8
1701,Assèmini,https://sc.wikipedia.org/wiki?curid=1701,16
1704,Provìntzia de Carbònia-Igrèsias,https://sc.wikipedia.org/wiki?curid=1704,6
1705,Provìntzia de Aristanis,https://sc.wikipedia.org/wiki?curid=1705,2
1706,Provìntzia de su Campidanu de Mesu/campidanesu,https://sc.wikipedia.org/wiki?curid=1706,4
1708,Sardinnia/campidanesu,https://sc.wikipedia.org/wiki?curid=1708,2
1711,Cabuderra,https://sc.wikipedia.org/wiki?curid=1711,6
1712,Armùngia,https://sc.wikipedia.org/wiki?curid=1712,2
