article_id,title,url,qid,topic,title_en,categories,n_sentences
8992302,Martine Vassal,https://fr.wikipedia.org/wiki?curid=8992302,,,,,12
8992304,Centrifugation gazeuse,https://fr.wikipedia.org/wiki?curid=8992304,,,,,11
8992310,Le Poids du crime,https://fr.wikipedia.org/wiki?curid=8992310,,,,,7
8992330,Craig Strete,https://fr.wikipedia.org/wiki?curid=8992330,,,,,9
8992345,React,https://fr.wikipedia.org/wiki?curid=8992345,,,,,3
8992347,Henri Duval,https://fr.wikipedia.org/wiki?curid=8992347,,,,,1
8992358,Eysses,https://fr.wikipedia.org/wiki?curid=8992358,,,,,3
8992364,Post-Britpop,https://fr.wikipedia.org/wiki?curid=8992364,,,,,7
8992368,"À la folie (film, 2013)",https://fr.wikipedia.org/wiki?curid=8992368,,,,,3
8992376,Gornje Ratkovo,https://fr.wikipedia.org/wiki?curid=8992376,,,,,1
8992396,Secrétaire à la Force aérienne des États-Unis,https://fr.wikipedia.org/wiki?curid=8992396,,,,,2
8992399,Unité urbaine de Gaillac,https://fr.wikipedia.org/wiki?curid=8992399,,,,,5
8992401,Langues en Croatie,https://fr.wikipedia.org/wiki?curid=8992401,,,,,2
8992416,Protestation devant les libertaires du présent et du futur sur les capitulations de 1937,https://fr.wikipedia.org/wiki?curid=8992416,,,,,7
8992419,Gornje Sokolovo (Ključ),https://fr.wikipedia.org/wiki?curid=8992419,,,,,1
8992421,Gornje Sokolovo,https://fr.wikipedia.org/wiki?curid=8992421,,,,,1
8992440,Anatoli Kim,https://fr.wikipedia.org/wiki?curid=8992440,,,,,16
8992459,Deborah Lee James,https://fr.wikipedia.org/wiki?curid=8992459,,,,,2
8992469,Bílovec,https://fr.wikipedia.org/wiki?curid=8992469,,,,,6
8992473,Ana Burgos,https://fr.wikipedia.org/wiki?curid=8992473,,,,,2
8992476,Orliczko,https://fr.wikipedia.org/wiki?curid=8992476,,,,,1
8992486,Podpniewki,https://fr.wikipedia.org/wiki?curid=8992486,,,,,1
8992498,Langues en Serbie,https://fr.wikipedia.org/wiki?curid=8992498,,,,,14
8992512,Louis Rigoulot,https://fr.wikipedia.org/wiki?curid=8992512,,,,,2
8992521,Bedhead (groupe),https://fr.wikipedia.org/wiki?curid=8992521,,,,,28
8992522,Psarce,https://fr.wikipedia.org/wiki?curid=8992522,,,,,1
8992531,Métro léger de Lusail,https://fr.wikipedia.org/wiki?curid=8992531,,,,,6
8992535,Thomas R. Williams,https://fr.wikipedia.org/wiki?curid=8992535,,,,,11
8992540,Psarskie (Szamotuły),https://fr.wikipedia.org/wiki?curid=8992540,,,,,1
8992560,Jarice,https://fr.wikipedia.org/wiki?curid=8992560,,,,,1
8992572,Diafiltration,https://fr.wikipedia.org/wiki?curid=8992572,,,,,1
8992577,Andrew Johns (triathlon),https://fr.wikipedia.org/wiki?curid=8992577,,,,,4
8992593,Langues en Slovénie,https://fr.wikipedia.org/wiki?curid=8992593,,,,,6
8992594,Pedro Domingo Murillo,https://fr.wikipedia.org/wiki?curid=8992594,,,,,2
8992603,Lewis Cubitt,https://fr.wikipedia.org/wiki?curid=8992603,,,,,1
8992612,Championnat d'Europe de polo 1993,https://fr.wikipedia.org/wiki?curid=8992612,,,,,1
8992613,Centre Pompidou Málaga,https://fr.wikipedia.org/wiki?curid=8992613,,,,,14
8992615,Armée de terre koweïtienne,https://fr.wikipedia.org/wiki?curid=8992615,,,,,10
8992631,Classopollis,https://fr.wikipedia.org/wiki?curid=8992631,,,,,2
8992636,Championnat d'Europe de polo 1995,https://fr.wikipedia.org/wiki?curid=8992636,,,,,1
8992640,Championnat d'Europe de polo 1997,https://fr.wikipedia.org/wiki?curid=8992640,,,,,1
8992644,Championnat d'Europe de polo 1999,https://fr.wikipedia.org/wiki?curid=8992644,,,,,1
8992649,Championnat d'Europe de polo 2002,https://fr.wikipedia.org/wiki?curid=8992649,,,,,1
8992650,Langues en Bosnie-Herzégovine,https://fr.wikipedia.org/wiki?curid=8992650,,,,,9
8992653,Agiosoritissa,https://fr.wikipedia.org/wiki?curid=8992653,,,,,2
8992655,Championnat d'Europe de polo 2005,https://fr.wikipedia.org/wiki?curid=8992655,,,,,2
8992659,Honzrath,https://fr.wikipedia.org/wiki?curid=8992659,,,,,4
8992661,Championnat d'Europe de polo 2008,https://fr.wikipedia.org/wiki?curid=8992661,,,,,1
8992668,Ljubine,https://fr.wikipedia.org/wiki?curid=8992668,,,,,1
8992669,Saison 1971-1972 de l'AS Saint-Étienne,https://fr.wikipedia.org/wiki?curid=8992669,,,,,4
8992670,Spirale sinusoïdale,https://fr.wikipedia.org/wiki?curid=8992670,,,,,10
8992676,Championnat d'Europe de polo 2010,https://fr.wikipedia.org/wiki?curid=8992676,,,,,1
8992681,Championnat d'Europe de polo 2012,https://fr.wikipedia.org/wiki?curid=8992681,,,,,2
8992683,Andrew MacMartin,https://fr.wikipedia.org/wiki?curid=8992683,,,,,17
8992684,Kaliski (Paprotnia),https://fr.wikipedia.org/wiki?curid=8992684,,,,,1
8992688,Championnat d'Europe de polo 2014,https://fr.wikipedia.org/wiki?curid=8992688,,,,,1
8992694,Robomodo,https://fr.wikipedia.org/wiki?curid=8992694,,,,,6
8992711,Burgos (Surigao du Nord),https://fr.wikipedia.org/wiki?curid=8992711,,,,,1
8992728,Langues en Slovaquie,https://fr.wikipedia.org/wiki?curid=8992728,,,,,1
8992729,Viaduc de Besnard,https://fr.wikipedia.org/wiki?curid=8992729,,,,,3
8992758,EMD F7,https://fr.wikipedia.org/wiki?curid=8992758,,,,,2
8992759,Zack Lee,https://fr.wikipedia.org/wiki?curid=8992759,,,,,23
8992761,Incident de Sakuradamon (1860),https://fr.wikipedia.org/wiki?curid=8992761,,,,,3
8992762,Le Génie du faux,https://fr.wikipedia.org/wiki?curid=8992762,,,,,4
8992764,Jean-Luc Chenut,https://fr.wikipedia.org/wiki?curid=8992764,,,,,11
8992775,2014 PN70,https://fr.wikipedia.org/wiki?curid=8992775,,,,,3
8992779,Langues en Ukraine,https://fr.wikipedia.org/wiki?curid=8992779,,,,,21
8992787,Au sud d'Alger,https://fr.wikipedia.org/wiki?curid=8992787,,,,,2
8992795,Marino Vanhoenacker,https://fr.wikipedia.org/wiki?curid=8992795,,,,,7
8992805,Esele Bakasu,https://fr.wikipedia.org/wiki?curid=8992805,,,,,3
8992822,Epotele Bazamba,https://fr.wikipedia.org/wiki?curid=8992822,,,,,4
8992827,Coupe de Corée du Sud féminine de volley-ball,https://fr.wikipedia.org/wiki?curid=8992827,,,,,1
8992829,24 Hours of Foo,https://fr.wikipedia.org/wiki?curid=8992829,,,,,2
8992841,Kleinia abyssinica,https://fr.wikipedia.org/wiki?curid=8992841,,,,,2
8992863,Soin du visage,https://fr.wikipedia.org/wiki?curid=8992863,,,,,2
8992871,Ikbol Zavkibekov,https://fr.wikipedia.org/wiki?curid=8992871,,,,,5
8992881,Juan de Álava,https://fr.wikipedia.org/wiki?curid=8992881,,,,,30
8992885,Coupe du monde de polo sur neige 2012,https://fr.wikipedia.org/wiki?curid=8992885,,,,,1
8992890,Langues en Pologne,https://fr.wikipedia.org/wiki?curid=8992890,,,,,13
8992917,Alberto Teta Lando,https://fr.wikipedia.org/wiki?curid=8992917,,,,,14
8992921,Coupe du monde de polo sur neige 2013,https://fr.wikipedia.org/wiki?curid=8992921,,,,,1
8992925,Coupe du monde de polo sur neige 2014,https://fr.wikipedia.org/wiki?curid=8992925,,,,,2
8992928,Hisayoshi Takeda,https://fr.wikipedia.org/wiki?curid=8992928,,,,,5
