article_id,title,url,qid,topic,title_en,categories,n_sentences
8732859,Mascari e Canali,https://it.wikipedia.org/wiki?curid=8732859,,,,,21
8732861,7 (album Ligabue),https://it.wikipedia.org/wiki?curid=8732861,,,,,10
8732863,Ottone VII di Baviera,https://it.wikipedia.org/wiki?curid=8732863,,,,,7
8732872,The Mauritanian,https://it.wikipedia.org/wiki?curid=8732872,,,,,15
8732875,Il piantagrane,https://it.wikipedia.org/wiki?curid=8732875,,,,,19
8732881,Tu si 'na cosa grande (Renato Zero),https://it.wikipedia.org/wiki?curid=8732881,,,,,4
8732884,Daniel Martin (nuotatore),https://it.wikipedia.org/wiki?curid=8732884,,,,,7
8732886,Chiesa di San Giovanni Battista (Pincara),https://it.wikipedia.org/wiki?curid=8732886,,,,,25
8732895,Abyssochrysoidea,https://it.wikipedia.org/wiki?curid=8732895,,,,,9
8732921,Pouya Saraei,https://it.wikipedia.org/wiki?curid=8732921,,,,,5
8732939,L'allegria degli angoli,https://it.wikipedia.org/wiki?curid=8732939,,,,,3
8732943,DBA (compagnia aerea),https://it.wikipedia.org/wiki?curid=8732943,,,,,8
8732944,Gordon Bradley,https://it.wikipedia.org/wiki?curid=8732944,,,,,24
8732946,Barbara Topsøe-Rothenborg,https://it.wikipedia.org/wiki?curid=8732946,,,,,2
8732967,Anna Fedorova,https://it.wikipedia.org/wiki?curid=8732967,,,,,7
8732969,Aeroporto di Teterboro,https://it.wikipedia.org/wiki?curid=8732969,,,,,7
8732976,Arjun Gill,https://it.wikipedia.org/wiki?curid=8732976,,,,,3
8732977,Gretha Jünger,https://it.wikipedia.org/wiki?curid=8732977,,,,,3
8732985,Come Bugs Bunny conquistò il West,https://it.wikipedia.org/wiki?curid=8732985,,,,,13
8732987,4AD (EP),https://it.wikipedia.org/wiki?curid=8732987,,,,,2
8732989,Battaglia di Capo Rachado,https://it.wikipedia.org/wiki?curid=8732989,,,,,64
8732992,Campionati europei di ciclismo su pista 2020 - Chilometro a cronometro,https://it.wikipedia.org/wiki?curid=8732992,,,,,1
8732996,Ultimate Christmas,https://it.wikipedia.org/wiki?curid=8732996,,,,,1
8732998,Pedro de Cárdenas y Blancardi,https://it.wikipedia.org/wiki?curid=8732998,,,,,7
8733003,My World (Bee Gees),https://it.wikipedia.org/wiki?curid=8733003,,,,,2
8733010,Presa di Bahia,https://it.wikipedia.org/wiki?curid=8733010,,,,,26
8733020,Nicolas Madsen,https://it.wikipedia.org/wiki?curid=8733020,,,,,6
8733025,Azione del 1° febbraio 1625,https://it.wikipedia.org/wiki?curid=8733025,,,,,3
8733027,Quah Zheng Wen,https://it.wikipedia.org/wiki?curid=8733027,,,,,4
8733028,Letterboxing,https://it.wikipedia.org/wiki?curid=8733028,,,,,5
8733033,Geokrety,https://it.wikipedia.org/wiki?curid=8733033,,,,,9
8733036,GeoSpy,https://it.wikipedia.org/wiki?curid=8733036,,,,,7
8733038,Battaglia di Goa,https://it.wikipedia.org/wiki?curid=8733038,,,,,4
8733047,Thomas Rydahl,https://it.wikipedia.org/wiki?curid=8733047,,,,,3
8733056,Dustin Kilgore,https://it.wikipedia.org/wiki?curid=8733056,,,,,5
8733067,Santiago Grassi,https://it.wikipedia.org/wiki?curid=8733067,,,,,4
8733078,Juan Ignacio Nardoni,https://it.wikipedia.org/wiki?curid=8733078,,,,,4
8733081,Kevin Zenón,https://it.wikipedia.org/wiki?curid=8733081,,,,,6
8733082,Natalino Lecca,https://it.wikipedia.org/wiki?curid=8733082,,,,,5
8733089,Ramon Rodrigo de Carvalho,https://it.wikipedia.org/wiki?curid=8733089,,,,,1
8733097,Bastardes (album),https://it.wikipedia.org/wiki?curid=8733097,,,,,1
8733102,Jefferson Galego,https://it.wikipedia.org/wiki?curid=8733102,,,,,2
8733105,Melodifestivalen 2021,https://it.wikipedia.org/wiki?curid=8733105,,,,,18
8733108,Arelya Karasoy,https://it.wikipedia.org/wiki?curid=8733108,,,,,8
8733109,William Nicholson Jennings,https://it.wikipedia.org/wiki?curid=8733109,,,,,9
8733112,Louis Croenen,https://it.wikipedia.org/wiki?curid=8733112,,,,,4
8733122,David Anderson (sciatore),https://it.wikipedia.org/wiki?curid=8733122,,,,,1
8733124,Stazione di Leopoli,https://it.wikipedia.org/wiki?curid=8733124,,,,,6
8733141,Blerina Gjylameti,https://it.wikipedia.org/wiki?curid=8733141,,,,,10
8733143,Yasemin Güveli,https://it.wikipedia.org/wiki?curid=8733143,,,,,6
8733146,Johann Sattler,https://it.wikipedia.org/wiki?curid=8733146,,,,,10
8733148,Monolito dello Utah,https://it.wikipedia.org/wiki?curid=8733148,,,,,7
8733155,Carlos Alcaraz (calciatore),https://it.wikipedia.org/wiki?curid=8733155,,,,,19
8733161,João Victor Gomes da Silva,https://it.wikipedia.org/wiki?curid=8733161,,,,,11
8733172,Angelo Conti (scultore),https://it.wikipedia.org/wiki?curid=8733172,,,,,2
8733178,Mimi Kodheli,https://it.wikipedia.org/wiki?curid=8733178,,,,,19
8733180,Alberto Cracco,https://it.wikipedia.org/wiki?curid=8733180,,,,,1
8733187,Campionato FIA di Formula 2 2021,https://it.wikipedia.org/wiki?curid=8733187,,,,,43
8733205,Prima battaglia di Salvador de Bahia,https://it.wikipedia.org/wiki?curid=8733205,,,,,7
8733211,Seconda battaglia di Salvador de Bahia,https://it.wikipedia.org/wiki?curid=8733211,,,,,5
8733217,John Layard,https://it.wikipedia.org/wiki?curid=8733217,,,,,19
8733220,Stångån,https://it.wikipedia.org/wiki?curid=8733220,,,,,7
8733221,Preso al laccio,https://it.wikipedia.org/wiki?curid=8733221,,,,,16
8733228,Grandeur d'âme,https://it.wikipedia.org/wiki?curid=8733228,,,,,3
8733230,George Somes Layard,https://it.wikipedia.org/wiki?curid=8733230,,,,,5
8733243,Azione del 30 settembre 1639,https://it.wikipedia.org/wiki?curid=8733243,,,,,4
8733249,L'angelo del miracolo,https://it.wikipedia.org/wiki?curid=8733249,,,,,2
8733250,Combe Hay,https://it.wikipedia.org/wiki?curid=8733250,,,,,2
8733259,Baffi da tricheco,https://it.wikipedia.org/wiki?curid=8733259,,,,,5
8733263,Chiesa di Santa Maria Assunta (Onore),https://it.wikipedia.org/wiki?curid=8733263,,,,,21
8733271,"The Best of Belinda, Volume 1",https://it.wikipedia.org/wiki?curid=8733271,,,,,1
8733283,Concerto in &quot;B Goode&quot;,https://it.wikipedia.org/wiki?curid=8733283,,,,,1
8733287,Posto di blocco (film),https://it.wikipedia.org/wiki?curid=8733287,,,,,3
8733288,Burcardo I di Goseck,https://it.wikipedia.org/wiki?curid=8733288,,,,,9
8733290,Set You Free,https://it.wikipedia.org/wiki?curid=8733290,,,,,2
8733292,Canale di Kinda,https://it.wikipedia.org/wiki?curid=8733292,,,,,15
8733293,Hard Row,https://it.wikipedia.org/wiki?curid=8733293,,,,,2
8733294,Casello n. 3,https://it.wikipedia.org/wiki?curid=8733294,,,,,3
8733297,10 A.M. Automatic,https://it.wikipedia.org/wiki?curid=8733297,,,,,2
8733298,Nidingr,https://it.wikipedia.org/wiki?curid=8733298,,,,,13
8733301,'Till I Get My Way/Girl Is on My Mind,https://it.wikipedia.org/wiki?curid=8733301,,,,,1
8733306,Your Touch,https://it.wikipedia.org/wiki?curid=8733306,,,,,1
8733307,Carlo Bresciani (politico),https://it.wikipedia.org/wiki?curid=8733307,,,,,30
8733308,Just Got to Be,https://it.wikipedia.org/wiki?curid=8733308,,,,,1
8733313,Chiesa di Sant'Eusebio (Moncrivello),https://it.wikipedia.org/wiki?curid=8733313,,,,,11
8733315,Strange Times (The Black Keys),https://it.wikipedia.org/wiki?curid=8733315,,,,,2
8733321,I Got Mine (The Black Keys),https://it.wikipedia.org/wiki?curid=8733321,,,,,2
8733329,World Padel Tour,https://it.wikipedia.org/wiki?curid=8733329,,,,,2
8733330,Tighten Up (The Black Keys),https://it.wikipedia.org/wiki?curid=8733330,,,,,4
8733332,Lista di college e università in Rhode Island,https://it.wikipedia.org/wiki?curid=8733332,,,,,7
8733336,Nae dwi-e Terrius,https://it.wikipedia.org/wiki?curid=8733336,,,,,3
8733350,Emilia Garito,https://it.wikipedia.org/wiki?curid=8733350,,,,,8
8733351,Federico I di Goseck,https://it.wikipedia.org/wiki?curid=8733351,,,,,4
8733362,Limatura dei denti,https://it.wikipedia.org/wiki?curid=8733362,,,,,17
8733364,Barba di tre giorni,https://it.wikipedia.org/wiki?curid=8733364,,,,,11
8733373,Ivan Vitali,https://it.wikipedia.org/wiki?curid=8733373,,,,,2
8733387,Giro di Campania 1976,https://it.wikipedia.org/wiki?curid=8733387,,,,,2
8733395,Federico II di Goseck,https://it.wikipedia.org/wiki?curid=8733395,,,,,9
8733396,Howlin' for You,https://it.wikipedia.org/wiki?curid=8733396,,,,,3
8733402,Blame It on My Youth (Blink-182),https://it.wikipedia.org/wiki?curid=8733402,,,,,1
8733407,Generational Divide,https://it.wikipedia.org/wiki?curid=8733407,,,,,2
8733410,Jeremy Silman,https://it.wikipedia.org/wiki?curid=8733410,,,,,13
8733420,Coppa di Polonia 2019-2020 (pallavolo maschile),https://it.wikipedia.org/wiki?curid=8733420,,,,,5
8733431,Happy Days (Blink-182),https://it.wikipedia.org/wiki?curid=8733431,,,,,3
8733443,Federico III di Goseck,https://it.wikipedia.org/wiki?curid=8733443,,,,,7
8733444,Not Another Christmas Song,https://it.wikipedia.org/wiki?curid=8733444,,,,,2
8733458,Blonde and Beyond,https://it.wikipedia.org/wiki?curid=8733458,,,,,1
8733461,Première Ligue de Soccer du Québec 2020,https://it.wikipedia.org/wiki?curid=8733461,,,,,7
8733465,Strada nazionale 33 (Argentina),https://it.wikipedia.org/wiki?curid=8733465,,,,,2
8733469,Denis (album),https://it.wikipedia.org/wiki?curid=8733469,,,,,1
8733471,Football Club København 2013-2014,https://it.wikipedia.org/wiki?curid=8733471,,,,,1
8733472,YK Osiris,https://it.wikipedia.org/wiki?curid=8733472,,,,,1
8733475,Hungarian Football League 2015,https://it.wikipedia.org/wiki?curid=8733475,,,,,1
8733476,Chiese di Vigevano,https://it.wikipedia.org/wiki?curid=8733476,,,,,31
8733480,Greatest Hits (Blondie),https://it.wikipedia.org/wiki?curid=8733480,,,,,1
8733482,"Io, una giudice popolare al Maxiprocesso",https://it.wikipedia.org/wiki?curid=8733482,,,,,10
8733488,Viaggio in Dalmazia,https://it.wikipedia.org/wiki?curid=8733488,,,,,6
8733502,Federico IV di Goseck,https://it.wikipedia.org/wiki?curid=8733502,,,,,12
8733518,Red Bull Music Academy,https://it.wikipedia.org/wiki?curid=8733518,,,,,6
8733528,Strada nazionale 35 (Argentina),https://it.wikipedia.org/wiki?curid=8733528,,,,,2
