text,label,article_id
"Atenzion: Cheste pagjine e je di comedâ, par lis modifichis dai non dai stâts, par intant, fâs riferiment al Cheste e je une liste par ordin alfabetic dai stâts dal mont.",0,5
"Ca a son includûts i 191 stâts che a son membris de Nazions Unidis plui Taiwan, la Citât dal Vatican e la Autoritât Palestinês (che e à dome un ricognossiment parziâl).",0,5
L'Italie e je un stât de Europe meridionâl che e fâs part de Union Europeane fin de sô fondazion.,0,6
"La superficie de Italie e je di cirche 300.000 km², cun scuasit 58 milions di abitants; e confine a nord-ovest cu la France, a nord cu la Svuizare e la Austrie, a nord-est cu la Slovenie.",0,6
"Il furlan ( ""friulano"", ""friaulisch""/""friulanisch""/""furlanisch"", ""Friulian"", "" furlanščina"") e je une lenghe romaniche de famee des lenghis retichis, che e je fevelade soredut intal Friûl, ma ancje vie pal mont.",0,7
"Cualchi volte al ven clamât Ladin orientâl, parcè che al à diviers ponts in comun cul ladin, ma si è svilupât in un altri mût cul passâ dal timp, sot de influence des lenghis ator dal Friûl (talian, todesc, sloven e venit).",0,7
"La trasformazion dal latin al furlan si madurìs probabilmentri tal periodi che al va dal VI al X secul, in maniere compagne a la formazion des altris lenghis romanichis.",0,7
Il prin document che al fevele di un latin une vore diferent doprât a Aquilee al è adiriture dal IV secul.,0,7
"Tal ""Liber de viris illustribus"" di Sant Jeroni (libri dai oms innomenâts) si conte, pe prime volte inte penisule taliane, che il vescul di Aquilee Fortunazian al veve scrit une predicje sui vanzelis doprant il ""rustico"" locâl, ven a stâi che par jessi sigûr di fâsi capì al veve scugnût scrivi in un latin une vore diferent di chel classic.",0,7
Lis primis formis di furlan veri e propit a nassin probabilmentri ator dal an 1000.,0,7
"Un anonim cronist in viaç pal Friûl tal XIII secul al conte che: Par vê i prins esemplis di leterature o vin di spietâ fin tal Tresinte, cuant che e tache la poetiche dal ""Piruç myò doç inculurit"" e altris oparis di gjenar amorôs.",0,7
"In te sô opere ""De vulgari eloquentia I, 11"" Dante Alighieri, descrivint lis varis lenghis de Italie al puarte come esempli dal furlan la espression ‘Ce fastu?’.",0,7
"Intal XVI secul, il poete Ermes di Colorêt e altris a crearin lavôrs dulà che ancje la vite di ogni dì no ven lassade di bande.",0,7
"Il XIX secul al è un periodi che al viôt la creazion di une vore di poesie e prose; i autôrs plui famôs a son Pieri Çorut (il sô capolavôr e je ""Plovisine"") e Catarine Percude, che e à mostrât il mont rurâl dal Friûl di chê volte.",0,7
