text,label,article_id
Buenos Aires è 'a capitale e 'a cità cchiù grossa 'e ll'Argentina.,1,19887
'A cità tene tre meliune d'abitante e 12.000.000 perzune 'int'a ll'area metropolitana .,1,19887
È 'o puorto cchiù mpurtante 'e ll'Argentina e uno de cchiù mpurtante 'e tutta Sudamerica.,1,19887
Buenos Aires addeventaje 'a capitale 'e ll'Argentina 'into 1880.,1,19887
"In Argentina so' ghiuto paricchie d'emigrante 'e ll'Europa, spicialmente 'e ll'Italia e dda Spagna.",1,19887
"'A maggiuranza se ne jette 'e ll'Europa pe bbia da Primma uerra munniale, 'a Siconda uerra munniale e tutta 'a miseria ca purtajeno ste doje uerre.",1,19887
Giacomo Di Chirico  fuje nu pettore lucano.,1,19894
Pure 'o frate sujo Nicola facette 'o pettore.,1,19894
Nicola Di Chirico fuje nu pettore da Lucania.,1,19895
'O frate sujo fuje 'o pettore Giacomo Di Chirico.,1,19895
Edoardo Dalbano  fuje nu pettore napulitano ca facette pparte da scola 'e Pusilleco.,1,19901
Alessandro Fergola  fuje nu pettore-decoratore napulitano.,1,19911
"Facette pparte da razza 'e pettore Fergola, pate sujo fuje Luigi Fergola e frate suje fujeno Francesco e Salvatore Fergola.",1,19911
"Alfred Sisley  è stato nu pittore ngrese, mpressiuniste.",1,19913
"'O stato è chillo suggietto  ca cumanna pure attrevierzo ll'uso d''a forza armata, d''a quale detene 'o monopolio.",1,19921
"'A pummarola , da famiglia de Solanacee, è nu frutto ca produce bacche do caratteristeco culore russo ô funno 'e ttante piatte da cucina mediterranea.",1,19922
"'A pummarola è nativo da zona do Centro-Sud 'e ll'Amereca e da pparte meridiunale do Nord 'e ll'Amereca, zona cumpresa ogge nfra 'e paise do Messico e Perù.",1,19922
'A pummarola è nu de tre 'ngrediente cchiù 'mpurtante pa preparazzione da pizza.,1,19922
Pa cunzervazione de pummarole nun ce vò friddo.,1,19922
Se ponno astipà appennennole cumme a nu piennolo nfino vierno.,1,19922
'O frutto 'n termene botanice è 'o prudotto d''a mureficazione 'e ll'ovario a secuto d''a mpullinazione.,1,19923
"'O significato biologgeco d''o frutto è dà a mmagnà, pruttezione, e spiercio 'e spannere 'e ssemmente ca cuntene.",1,19923
"Nicole Krauss  è na scrittrice merricana ca campa a Brooklyn cu marito sujo, 'o scrittore Jonathan Safran Foer e figlio lloro.",1,19924
'O primmo rommanzo sujo  Un uomo sulla soglia  à vinciuto 'o premmio p' 'o libbro 'e ll'anno d''o giurnale 'o Los Angeles Times'.,1,19924
'O rommanzo sujo cchiù nuovo  La storia dell'amore  ascette a ll'abbia 'e 2005 e fuje nomminato p' 'o Orange Prize.,1,19924
"'E cunte 'e Krauss accumpare pure dint'ô New Yorker, Esquire, e 'o cumpennio Best American Short Stories.",1,19924
"'A posema è nu polisaccaride cumpresso nsolubbele 'n acqua, autilizzato comme riserva 'int'ê cellule veggetale casumaje 'e cuncentrazione ntercellulare 'e glucosio songo aute.",1,19928
cu Lello Arena e Enzo Decaro.,1,19938
'O '96 venette candidato pe 'o premmio Oscar pe miglior attore protagonista e miglior sceneggiatura non originale c o film   Il Postino  .  ,1,19938
"Murette pe n'antecore assaje ggiovane, teneva quarantuno anne.  ",1,19938
"Massimo Troisi nascette a San Giorgio a Cremano dint'ô 1953, mmiez'a na fammiglia 'e nu cuofeno 'e fratelle.",1,19938
"Quann'era piccerillo campavano dint'a stessa casa 'e parente, cinche frate, duje nonne, 'e zie e cinche cuggine.",1,19938
"Massimo cumminciaje a ffà l'attore pe tramente ca ferneva 'o liceo dint'ô gruppo 'e teatro d a Chiesia 'e Sant'Anna, nziem'a Lello Arena, Enzo Decaro, Valeria Pezza e Nico Mucci.",1,19938
"Int'ô 1972, 'o gruppo addeventaje cchiù gruosso facennosse 'o  Centro Teatro Spazio  a San Giorgio a Cremano facenno surtanto tiatro tradiziunale napulitano.  ",1,19938
"Int'ô 1977, dint'ô Centro Teatro Spazio nascette  La smorfia , c o trio Troisi, Arena e Decaro, ca ngarraje assaje succiesso.",1,19938
"Po' arrevajeno 'ncopp'a TV, e pure 'a radio ca steva già facenno prugramme 'e  La smorfia .",1,19938
"Adam Bernard Mickiewicz  - nu poema 'e 12 libbri, chiamata  epopeia nazionale .",1,19946
Adam Mickiewicz facette pure traduzioni 'int' polacco 'e ll'opere 'e ll'autore taliane:,1,19946
"Francesco Petrarca, Dante Alighieri.",1,19946
revision        commentReplacing POL_Gdańsk_COA.svg with .,1,19967
Vincenzo Russo  fuje nu feloseco e revuluzionario napulitano.,1,20016
"Facette pparte d''a Reprubbeca napulitana e fuje mpiso 'o 19 'e nuvembre, 1799 'int'â chiazza Mercato.",1,20016
Scrivette 'o libbro rousseauano  Pensieri politici .,1,20016
"Roberto De Simone  è nu regista, nu cumponetóre e n'aspiérto 'e museca taliano.",1,20023
"Stefan Banach  fuje nu matemateco pulacco, una d''e perzune cchiù mpurtante int''a",1,20029
Scola matemateca 'e Lviv a Pulonia nfra 'e duje uerre.,1,20029
Isso era sostanzialmente n'autodidatta int''a matemateca e 'o ggenio suojo fuje scummogliato accidentalmente 'a Hugo Steinhaus.,1,20029
"Nascette 'a Stefan Greczek e Katarzyna Banach che l'abbanduona a poche juorne d''a nasceta e fuje crisciuto d''a nonna materna int' 'o villaggio d'Ostrowsko, a na cinquantina 'e chilometre 'a Cracovia.",1,20029
"Ô 1902 frequentaje nu Gymnasium 'e Cracovia int' 'o quale stringette amecezzia cu n'atu futuro prufessore 'e matemateca, Witold Wilkosz;",1,20029
cu isso s'appassionaje 'e maniera esclusiva a 'e prubbreme d''a matemateca.,1,20029
"Nun pensanno â possibiletà 'e na carriera int'a chesta disceplina, int' 'o 1910 se screvette â facurtà 'e ngegneria 'e ll'Univerzità Tecnica 'e Lviv, cità allora pparte 'e ll'Impero Austro-Ungarico.",1,20029
"Avennose 'e mantené int'a li studie ch''e lezione private, se laureaje cu na certa fateca int' 'o 1914.",1,20029
"Durante 'a 'uerra, inabile al servezzio miletare a causa d''a debolezza 'e n'uocchio, faticaje ncopp'â costruzione 'e strare e frequentaje lezione 'e matemateca int'a l'Univerzetà 'e Cracovia, canuscenno forze Stanislaw Zaremba.  ",1,20029
Int' 'o 1916 se verifeca n'episodio cruciale p''a vita d''a soja p''o sviluppo d''a matemateca 'int'a Pulonia.,1,20029
"Hugo Steinhaus passianno a Cracovia d''e pparte 'e nu pparco, sentenno 'e prununcià 'e pparole  misura 'e Lebesgue  facette 'a canuscenza 'e duje apprendiste matematece, Stefan Banach e Otto Nikodym;",1,20029
cu loro fa amecezzia e decidono nzieme 'e funnà na società matemateca:,1,20029
sarrà 'a Società matemateca 'e Cracovia nasciuta int' 'o 1919 e addeventarrà int' 'o 1920 'a Società Matemateca Polacca.,1,20029
"Ncollaborazione cu Steinhaus, Banach screvette ampressa 'e primme fatiche 'e matemateca, e n'auto livello.",1,20029
"Int' 'o 1920 addeventa assestente 'e Lomnicki, int'a l'Univerzità Tecnica 'e Lviv, e cu isso se piglia na qualifeca matemateca cu 'a tesi  Operazione sugli insiemi astratte e loro apprecazione alle equazione integrali , fatica che assaje crédeno fosse 'o segno d''a nasceta 'e ll'analisi funzionale.",1,20029
Int' 'o 1922 presso ll'Univerzità Jan Kazimierz 'e Lviv ottiene ll'abiletazione a' 'o nzegnamento d''a matemateca cu na tesi ncopp'â tiuria d' 'a misura e cu decreto d' 'o Capo dello Stato véne annummenato prufessore straordinario 'e matemateca.,1,20029
Int' 'o 1924 addeventa prufessore univerzitario e nfen'ô 1939 se po' addedecà â recerca matemateca cu mpurtanti risurtate.,1,20029
È chesto 'o periodo 'e sciurescenza d''a Scola matemateca 'e Lviv.,1,20029
Banach e Steinhaus funnano int' 'o 1929 e aropp cummannano ll'importante giurnale  Studia Mathematica .,1,20029
"Int' 'o 1931, Banach e Steinhaus da Lviv e Knaster, Kazimierz Kuratowski, Stefan Mazurkiewicz e Waclaw Sierpinski da Varsavia ncignano 'a collana Mathematical Monographs.",1,20029
