,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,por,oci,deu,eng,slv,hrv,hun
fur,0.000000,0.062431,0.057346,0.067590,0.095744,0.066932,0.039002,0.043014,0.025523,0.030904,0.038264,0.030597,0.116673,0.072570,0.106804,0.092065,0.212724
lij,0.062431,0.000000,0.079208,0.084554,0.116452,0.061438,0.030600,0.055654,0.056491,0.057212,0.032788,0.059863,0.147334,0.108845,0.138864,0.123929,0.230225
lmo,0.057346,0.079208,0.000000,0.053214,0.079521,0.054517,0.044368,0.038921,0.036885,0.016866,0.053650,0.015655,0.118583,0.102764,0.148099,0.132651,0.183943
sc,0.067590,0.084554,0.053214,0.000000,0.065592,0.055328,0.042540,0.024568,0.042668,0.036977,0.028240,0.029813,0.124195,0.083664,0.150553,0.126532,0.226623
scn,0.095744,0.116452,0.079521,0.065592,0.000000,0.111875,0.079664,0.091648,0.101204,0.085984,0.093814,0.076543,0.197896,0.164176,0.203362,0.173351,0.283417
vec,0.066932,0.061438,0.054517,0.055328,0.111875,0.000000,0.016647,0.017669,0.040315,0.034238,0.029752,0.040122,0.139316,0.087225,0.123156,0.110080,0.219136
ita,0.039002,0.030600,0.044368,0.042540,0.079664,0.016647,0.000000,0.011693,0.025192,0.019149,0.013459,0.023340,0.119118,0.067117,0.114369,0.099602,0.215297
spa,0.043014,0.055654,0.038921,0.024568,0.091648,0.017669,0.011693,0.000000,0.016767,0.012289,0.009543,0.014147,0.107894,0.059688,0.112616,0.097194,0.203436
fra,0.025523,0.056491,0.036885,0.042668,0.101204,0.040315,0.025192,0.016767,0.000000,0.010113,0.020847,0.013451,0.084189,0.056008,0.104124,0.090326,0.178150
cat,0.030904,0.057212,0.016866,0.036977,0.085984,0.034238,0.019149,0.012289,0.010113,0.000000,0.020926,0.003072,0.093439,0.061170,0.112319,0.098111,0.180075
por,0.038264,0.032788,0.053650,0.028240,0.093814,0.029752,0.013459,0.009543,0.020847,0.020926,0.000000,0.019928,0.109023,0.060845,0.102331,0.085454,0.200203
oci,0.030597,0.059863,0.015655,0.029813,0.076543,0.040122,0.023340,0.014147,0.013451,0.003072,0.019928,0.000000,0.098356,0.066153,0.111232,0.095563,0.180765
deu,0.116673,0.147334,0.118583,0.124195,0.197896,0.139316,0.119118,0.107894,0.084189,0.093439,0.109023,0.098356,0.000000,0.045458,0.090657,0.088270,0.098573
eng,0.072570,0.108845,0.102764,0.083664,0.164176,0.087225,0.067117,0.059688,0.056008,0.061170,0.060845,0.066153,0.045458,0.000000,0.086884,0.081477,0.145241
slv,0.106804,0.138864,0.148099,0.150553,0.203362,0.123156,0.114369,0.112616,0.104124,0.112319,0.102331,0.111232,0.090657,0.086884,0.000000,0.003789,0.074843
hrv,0.092065,0.123929,0.132651,0.126532,0.173351,0.110080,0.099602,0.097194,0.090326,0.098111,0.085454,0.095563,0.088270,0.081477,0.003789,0.000000,0.086607
hun,0.212724,0.230225,0.183943,0.226623,0.283417,0.219136,0.215297,0.203436,0.178150,0.180075,0.200203,0.180765,0.098573,0.145241,0.074843,0.086607,0.000000
