source,target,distance,similarity,target_family,target_display
cat,oci,0.003072,0.996928,romance,Occitan
cat,fra,0.010113,0.989887,romance,French
cat,spa,0.012289,0.987711,romance,Spanish
cat,lmo,0.016866,0.983134,italo_romance,Lombard
cat,ita,0.019149,0.980851,italian,Italian
cat,por,0.020926,0.979074,romance,Portuguese
cat,fur,0.030904,0.969096,italo_romance,Friulian
cat,vec,0.034238,0.965762,italo_romance,Venetian
cat,sc,0.036977,0.963023,italo_romance,Sardinian
cat,lij,0.057212,0.942788,italo_romance,Ligurian
cat,eng,0.061170,0.938830,english,English
cat,scn,0.085984,0.914016,italo_romance,Sicilian
cat,deu,0.093439,0.906561,germanic,German
cat,hrv,0.098111,0.901889,slavic,Croatian
cat,slv,0.112319,0.887681,slavic,Slovenian
cat,hun,0.180075,0.819925,uralic,Hungarian
deu,eng,0.045458,0.954542,english,English
deu,fra,0.084189,0.915811,romance,French
deu,hrv,0.088270,0.911730,slavic,Croatian
deu,slv,0.090657,0.909343,slavic,Slovenian
deu,cat,0.093439,0.906561,romance,Catalan
deu,oci,0.098356,0.901644,romance,Occitan
deu,hun,0.098573,0.901427,uralic,Hungarian
deu,spa,0.107894,0.892106,romance,Spanish
deu,por,0.109023,0.890977,romance,Portuguese
deu,fur,0.116673,0.883327,italo_romance,Friulian
deu,lmo,0.118583,0.881417,italo_romance,Lombard
deu,ita,0.119118,0.880882,italian,Italian
deu,sc,0.124195,0.875805,italo_romance,Sardinian
deu,vec,0.139316,0.860684,italo_romance,Venetian
deu,lij,0.147334,0.852666,italo_romance,Ligurian
deu,scn,0.197896,0.802104,italo_romance,Sicilian
eng,deu,0.045458,0.954542,germanic,German
eng,fra,0.056008,0.943992,romance,French
eng,spa,0.059688,0.940312,romance,Spanish
eng,por,0.060845,0.939155,romance,Portuguese
eng,cat,0.061170,0.938830,romance,Catalan
eng,oci,0.066153,0.933847,romance,Occitan
eng,ita,0.067117,0.932883,italian,Italian
eng,fur,0.072570,0.927430,italo_romance,Friulian
eng,hrv,0.081477,0.918523,slavic,Croatian
eng,sc,0.083664,0.916336,italo_romance,Sardinian
eng,slv,0.086884,0.913116,slavic,Slovenian
eng,vec,0.087225,0.912775,italo_romance,Venetian
eng,lmo,0.102764,0.897236,italo_romance,Lombard
eng,lij,0.108845,0.891155,italo_romance,Ligurian
eng,hun,0.145241,0.854759,uralic,Hungarian
eng,scn,0.164176,0.835824,italo_romance,Sicilian
fra,cat,0.010113,0.989887,romance,Catalan
fra,oci,0.013451,0.986549,romance,Occitan
fra,spa,0.016767,0.983233,romance,Spanish
fra,por,0.020847,0.979153,romance,Portuguese
fra,ita,0.025192,0.974808,italian,Italian
fra,fur,0.025523,0.974477,italo_romance,Friulian
fra,lmo,0.036885,0.963115,italo_romance,Lombard
fra,vec,0.040315,0.959685,italo_romance,Venetian
fra,sc,0.042668,0.957332,italo_romance,Sardinian
fra,eng,0.056008,0.943992,english,English
fra,lij,0.056491,0.943509,italo_romance,Ligurian
fra,deu,0.084189,0.915811,germanic,German
fra,hrv,0.090326,0.909674,slavic,Croatian
fra,scn,0.101204,0.898796,italo_romance,Sicilian
fra,slv,0.104124,0.895876,slavic,Slovenian
fra,hun,0.178150,0.821850,uralic,Hungarian
fur,fra,0.025523,0.974477,romance,French
fur,oci,0.030597,0.969403,romance,Occitan
fur,cat,0.030904,0.969096,romance,Catalan
fur,por,0.038264,0.961736,romance,Portuguese
fur,ita,0.039002,0.960998,italian,Italian
fur,spa,0.043014,0.956986,romance,Spanish
fur,lmo,0.057346,0.942654,italo_romance,Lombard
fur,lij,0.062431,0.937569,italo_romance,Ligurian
fur,vec,0.066932,0.933068,italo_romance,Venetian
fur,sc,0.067590,0.932410,italo_romance,Sardinian
fur,eng,0.072570,0.927430,english,English
fur,hrv,0.092065,0.907935,slavic,Croatian
fur,scn,0.095744,0.904256,italo_romance,Sicilian
fur,slv,0.106804,0.893196,slavic,Slovenian
fur,deu,0.116673,0.883327,germanic,German
fur,hun,0.212724,0.787276,uralic,Hungarian
hrv,slv,0.003789,0.996211,slavic,Slovenian
hrv,eng,0.081477,0.918523,english,English
hrv,por,0.085454,0.914546,romance,Portuguese
hrv,hun,0.086607,0.913393,uralic,Hungarian
hrv,deu,0.088270,0.911730,germanic,German
hrv,fra,0.090326,0.909674,romance,French
hrv,fur,0.092065,0.907935,italo_romance,Friulian
hrv,oci,0.095563,0.904437,romance,Occitan
hrv,spa,0.097194,0.902806,romance,Spanish
hrv,cat,0.098111,0.901889,romance,Catalan
hrv,ita,0.099602,0.900398,italian,Italian
hrv,vec,0.110080,0.889920,italo_romance,Venetian
hrv,lij,0.123929,0.876071,italo_romance,Ligurian
hrv,sc,0.126532,0.873468,italo_romance,Sardinian
hrv,lmo,0.132651,0.867349,italo_romance,Lombard
hrv,scn,0.173351,0.826649,italo_romance,Sicilian
hun,slv,0.074843,0.925157,slavic,Slovenian
hun,hrv,0.086607,0.913393,slavic,Croatian
hun,deu,0.098573,0.901427,germanic,German
hun,eng,0.145241,0.854759,english,English
hun,fra,0.178150,0.821850,romance,French
hun,cat,0.180075,0.819925,romance,Catalan
hun,oci,0.180765,0.819235,romance,Occitan
hun,lmo,0.183943,0.816057,italo_romance,Lombard
hun,por,0.200203,0.799797,romance,Portuguese
hun,spa,0.203436,0.796564,romance,Spanish
hun,fur,0.212724,0.787276,italo_romance,Friulian
hun,ita,0.215297,0.784703,italian,Italian
hun,vec,0.219136,0.780864,italo_romance,Venetian
hun,sc,0.226623,0.773377,italo_romance,Sardinian
hun,lij,0.230225,0.769775,italo_romance,Ligurian
hun,scn,0.283417,0.716583,italo_romance,Sicilian
ita,spa,0.011693,0.988307,romance,Spanish
ita,por,0.013459,0.986541,romance,Portuguese
ita,vec,0.016647,0.983353,italo_romance,Venetian
