,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,por,oci,deu,eng,slv,hrv,hun
fur,1.000000,0.911337,0.913225,0.909530,0.880584,0.910270,0.937819,0.930754,0.949518,0.944321,0.932337,0.945000,0.852720,0.899039,0.858126,0.872137,0.752737
lij,0.911337,1.000000,0.890920,0.889889,0.859876,0.915403,0.945476,0.914507,0.914822,0.915282,0.936390,0.913060,0.819081,0.859889,0.822655,0.837376,0.732189
lmo,0.913225,0.890920,1.000000,0.915528,0.890528,0.915756,0.926463,0.925551,0.927834,0.950010,0.909864,0.950420,0.843030,0.861065,0.810486,0.825278,0.772364
sc,0.909530,0.889889,0.915528,1.000000,0.911821,0.920815,0.934875,0.952474,0.933486,0.939712,0.946304,0.947116,0.846568,0.889708,0.817828,0.840315,0.741346
scn,0.880584,0.859876,0.890528,0.911821,1.000000,0.866720,0.899307,0.882319,0.873409,0.888776,0.878661,0.898353,0.772670,0.809148,0.763971,0.793128,0.683997
vec,0.910270,0.915403,0.915756,0.920815,0.866720,1.000000,0.962087,0.954546,0.932995,0.940287,0.940717,0.934577,0.828833,0.883681,0.841017,0.853359,0.744966
ita,0.937819,0.945476,0.926463,0.934875,0.899307,0.962087,1.000000,0.963168,0.949719,0.957171,0.957783,0.952570,0.850164,0.904115,0.850877,0.865056,0.750109
spa,0.930754,0.914507,0.925551,0.952474,0.882319,0.954546,0.963168,1.000000,0.958029,0.965666,0.966964,0.962234,0.860417,0.911791,0.852230,0.867114,0.761907
fra,0.949518,0.914822,0.927834,0.933486,0.873409,0.932995,0.949719,0.958029,1.000000,0.965762,0.951378,0.965136,0.884052,0.916371,0.860296,0.873406,0.785872
cat,0.944321,0.915282,0.950010,0.939712,0.888776,0.940287,0.957171,0.965666,0.965762,1.000000,0.953701,0.976157,0.874748,0.911144,0.852019,0.865628,0.783375
por,0.932337,0.936390,0.909864,0.946304,0.878661,0.940717,0.957783,0.966964,0.951378,0.953701,1.000000,0.954900,0.855791,0.907988,0.858391,0.875036,0.761631
oci,0.945000,0.913060,0.950420,0.947116,0.898353,0.934577,0.952570,0.962234,0.965136,0.976157,0.954900,1.000000,0.869938,0.906674,0.853570,0.868502,0.782940
deu,0.852720,0.819081,0.843030,0.846568,0.772670,0.828833,0.850164,0.860417,0.884052,0.874748,0.855791,0.869938,1.000000,0.924244,0.875436,0.876742,0.864188
eng,0.899039,0.859889,0.861065,0.889708,0.809148,0.883681,0.904115,0.911791,0.916371,0.911144,0.907988,0.906674,0.924244,1.000000,0.876944,0.882531,0.816696
slv,0.858126,0.822655,0.810486,0.817828,0.763971,0.841017,0.850877,0.852230,0.860296,0.852019,0.858391,0.853570,0.875436,0.876944,1.000000,0.965297,0.884451
hrv,0.872137,0.837376,0.825278,0.840315,0.793128,0.853359,0.865056,0.867114,0.873406,0.865628,0.875036,0.868502,0.876742,0.882531,0.965297,1.000000,0.871627
hun,0.752737,0.732189,0.772364,0.741346,0.683997,0.744966,0.750109,0.761907,0.785872,0.783375,0.761631,0.782940,0.864188,0.816696,0.884451,0.871627,1.000000
