variety_A,variety_B,mean_similarity,family_A,family_B
cat,oci,0.976157,romance,romance
spa,por,0.966964,romance,romance
fra,cat,0.965762,romance,romance
spa,cat,0.965666,romance,romance
slv,hrv,0.965297,slavic,slavic
fra,oci,0.965136,romance,romance
ita,spa,0.963168,italian,romance
spa,oci,0.962234,romance,romance
vec,ita,0.962087,italo_romance,italian
spa,fra,0.958029,romance,romance
ita,por,0.957783,italian,romance
ita,cat,0.957171,italian,romance
por,oci,0.954900,romance,romance
vec,spa,0.954546,italo_romance,romance
cat,por,0.953701,romance,romance
ita,oci,0.952570,italian,romance
sc,spa,0.952474,italo_romance,romance
fra,por,0.951378,romance,romance
lmo,oci,0.950420,italo_romance,romance
lmo,cat,0.950010,italo_romance,romance
ita,fra,0.949719,italian,romance
fur,fra,0.949518,italo_romance,romance
sc,oci,0.947116,italo_romance,romance
sc,por,0.946304,italo_romance,romance
lij,ita,0.945476,italo_romance,italian
fur,oci,0.945000,italo_romance,romance
fur,cat,0.944321,italo_romance,romance
vec,por,0.940717,italo_romance,romance
vec,cat,0.940287,italo_romance,romance
sc,cat,0.939712,italo_romance,romance
fur,ita,0.937819,italo_romance,italian
lij,por,0.936390,italo_romance,romance
sc,ita,0.934875,italo_romance,italian
vec,oci,0.934577,italo_romance,romance
sc,fra,0.933486,italo_romance,romance
vec,fra,0.932995,italo_romance,romance
fur,por,0.932337,italo_romance,romance
fur,spa,0.930754,italo_romance,romance
lmo,fra,0.927834,italo_romance,romance
lmo,ita,0.926463,italo_romance,italian
lmo,spa,0.925551,italo_romance,romance
deu,eng,0.924244,germanic,english
sc,vec,0.920815,italo_romance,italo_romance
fra,eng,0.916371,romance,english
lmo,vec,0.915756,italo_romance,italo_romance
lmo,sc,0.915528,italo_romance,italo_romance
lij,vec,0.915403,italo_romance,italo_romance
lij,cat,0.915282,italo_romance,romance
lij,fra,0.914822,italo_romance,romance
lij,spa,0.914507,italo_romance,romance
fur,lmo,0.913225,italo_romance,italo_romance
lij,oci,0.913060,italo_romance,romance
sc,scn,0.911821,italo_romance,italo_romance
spa,eng,0.911791,romance,english
fur,lij,0.911337,italo_romance,italo_romance
cat,eng,0.911144,romance,english
fur,vec,0.910270,italo_romance,italo_romance
lmo,por,0.909864,italo_romance,romance
fur,sc,0.909530,italo_romance,italo_romance
por,eng,0.907988,romance,english
oci,eng,0.906674,romance,english
ita,eng,0.904115,italian,english
scn,ita,0.899307,italo_romance,italian
fur,eng,0.899039,italo_romance,english
scn,oci,0.898353,italo_romance,romance
lij,lmo,0.890920,italo_romance,italo_romance
lmo,scn,0.890528,italo_romance,italo_romance
lij,sc,0.889889,italo_romance,italo_romance
sc,eng,0.889708,italo_romance,english
scn,cat,0.888776,italo_romance,romance
slv,hun,0.884451,slavic,uralic
fra,deu,0.884052,romance,germanic
vec,eng,0.883681,italo_romance,english
eng,hrv,0.882531,english,slavic
scn,spa,0.882319,italo_romance,romance
fur,scn,0.880584,italo_romance,italo_romance
scn,por,0.878661,italo_romance,romance
eng,slv,0.876944,english,slavic
deu,hrv,0.876742,germanic,slavic
deu,slv,0.875436,germanic,slavic
por,hrv,0.875036,romance,slavic
cat,deu,0.874748,romance,germanic
scn,fra,0.873409,italo_romance,romance
fra,hrv,0.873406,romance,slavic
fur,hrv,0.872137,italo_romance,slavic
hrv,hun,0.871627,slavic,uralic
oci,deu,0.869938,romance,germanic
oci,hrv,0.868502,romance,slavic
spa,hrv,0.867114,romance,slavic
scn,vec,0.866720,italo_romance,italo_romance
cat,hrv,0.865628,romance,slavic
ita,hrv,0.865056,italian,slavic
deu,hun,0.864188,germanic,uralic
lmo,eng,0.861065,italo_romance,english
spa,deu,0.860417,romance,germanic
fra,slv,0.860296,romance,slavic
lij,eng,0.859889,italo_romance,english
lij,scn,0.859876,italo_romance,italo_romance
por,slv,0.858391,romance,slavic
fur,slv,0.858126,italo_romance,slavic
por,deu,0.855791,romance,germanic
oci,slv,0.853570,romance,slavic
vec,hrv,0.853359,italo_romance,slavic
fur,deu,0.852720,italo_romance,germanic
spa,slv,0.852230,romance,slavic
cat,slv,0.852019,romance,slavic
ita,slv,0.850877,italian,slavic
ita,deu,0.850164,italian,germanic
sc,deu,0.846568,italo_romance,germanic
lmo,deu,0.843030,italo_romance,germanic
vec,slv,0.841017,italo_romance,slavic
sc,hrv,0.840315,italo_romance,slavic
lij,hrv,0.837376,italo_romance,slavic
vec,deu,0.828833,italo_romance,germanic
lmo,hrv,0.825278,italo_romance,slavic
lij,slv,0.822655,italo_romance,slavic
lij,deu,0.819081,italo_romance,germanic
sc,slv,0.817828,italo_romance,slavic
eng,hun,0.816696,english,uralic
lmo,slv,0.810486,italo_romance,slavic
scn,eng,0.809148,italo_romance,english
scn,hrv,0.793128,italo_romance,slavic
fra,hun,0.785872,romance,uralic
cat,hun,0.783375,romance,uralic
oci,hun,0.782940,romance,uralic
scn,deu,0.772670,italo_romance,germanic
lmo,hun,0.772364,italo_romance,uralic
scn,slv,0.763971,italo_romance,slavic
spa,hun,0.761907,romance,uralic
por,hun,0.761631,romance,uralic
fur,hun,0.752737,italo_romance,uralic
ita,hun,0.750109,italian,uralic
vec,hun,0.744966,italo_romance,uralic
sc,hun,0.741346,italo_romance,uralic
lij,hun,0.732189,italo_romance,uralic
scn,hun,0.683997,italo_romance,uralic
