,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,por,oci,deu,eng,slv,hrv,hun
fur,1.000000,0.859632,0.836359,0.855848,0.848310,0.850621,0.865949,0.850072,0.845745,0.856063,0.846963,0.856716,0.819876,0.828890,0.819758,0.816699,0.779822
lij,0.859632,1.000000,0.852992,0.856634,0.831756,0.865154,0.865355,0.849037,0.839500,0.846791,0.854684,0.857001,0.807917,0.823194,0.806181,0.799331,0.781441
lmo,0.836359,0.852992,1.000000,0.849479,0.838866,0.857371,0.834537,0.815464,0.814390,0.821408,0.801958,0.841172,0.785984,0.790896,0.774822,0.765962,0.770078
sc,0.855848,0.856634,0.849479,1.000000,0.848786,0.866417,0.864893,0.871954,0.863603,0.866415,0.864856,0.882052,0.840661,0.846005,0.809972,0.810703,0.795729
scn,0.848310,0.831756,0.838866,0.848786,1.000000,0.828727,0.844685,0.806341,0.802164,0.813556,0.796855,0.823733,0.782432,0.786688,0.780051,0.786192,0.749623
vec,0.850621,0.865154,0.857371,0.866417,0.828727,1.000000,0.872167,0.857791,0.845690,0.856302,0.849453,0.863898,0.821847,0.835314,0.815079,0.808668,0.785675
ita,0.865949,0.865355,0.834537,0.864893,0.844685,0.872167,1.000000,0.903474,0.880758,0.902466,0.888954,0.892909,0.861740,0.878130,0.853960,0.850748,0.801223
spa,0.850072,0.849037,0.815464,0.871954,0.806341,0.857791,0.903474,1.000000,0.897775,0.921071,0.917669,0.905672,0.867542,0.885130,0.850372,0.848277,0.826727
fra,0.845745,0.839500,0.814390,0.863603,0.802164,0.845690,0.880758,0.897775,1.000000,0.902049,0.881143,0.896680,0.866212,0.876420,0.819821,0.820390,0.807486
cat,0.856063,0.846791,0.821408,0.866415,0.813556,0.856302,0.902466,0.921071,0.902049,1.000000,0.905023,0.915657,0.865405,0.885313,0.841046,0.840186,0.818286
por,0.846963,0.854684,0.801958,0.864856,0.796855,0.849453,0.888954,0.917669,0.881143,0.905023,1.000000,0.897227,0.850856,0.875554,0.839234,0.840913,0.815750
oci,0.856716,0.857001,0.841172,0.882052,0.823733,0.863898,0.892909,0.905672,0.896680,0.915657,0.897227,1.000000,0.850859,0.872651,0.831268,0.827854,0.813670
deu,0.819876,0.807917,0.785984,0.840661,0.782432,0.821847,0.861740,0.867542,0.866212,0.865405,0.850856,0.850859,1.000000,0.892108,0.833111,0.832373,0.807490
eng,0.828890,0.823194,0.790896,0.846005,0.786688,0.835314,0.878130,0.885130,0.876420,0.885313,0.875554,0.872651,0.892108,1.000000,0.836707,0.836109,0.805497
slv,0.819758,0.806181,0.774822,0.809972,0.780051,0.815079,0.853960,0.850372,0.819821,0.841046,0.839234,0.831268,0.833111,0.836707,1.000000,0.912145,0.814806
hrv,0.816699,0.799331,0.765962,0.810703,0.786192,0.808668,0.850748,0.848277,0.820390,0.840186,0.840913,0.827854,0.832373,0.836109,0.912145,1.000000,0.804202
hun,0.779822,0.781441,0.770078,0.795729,0.749623,0.785675,0.801223,0.826727,0.807486,0.818286,0.815750,0.813670,0.807490,0.805497,0.814806,0.804202,1.000000
