dialect,reference,ref_family,mean_similarity
fur,ita,italian,0.865949
fur,oci,romance,0.856716
fur,cat,romance,0.856063
fur,spa,romance,0.850072
fur,por,romance,0.846963
fur,fra,romance,0.845745
fur,eng,english,0.828890
fur,deu,germanic,0.819876
fur,slv,slavic,0.819758
fur,hrv,slavic,0.816699
fur,hun,uralic,0.779822
lij,ita,italian,0.865355
lij,oci,romance,0.857001
lij,por,romance,0.854684
lij,spa,romance,0.849037
lij,cat,romance,0.846791
lij,fra,romance,0.839500
lij,eng,english,0.823194
lij,deu,germanic,0.807917
lij,slv,slavic,0.806181
lij,hrv,slavic,0.799331
lij,hun,uralic,0.781441
lmo,oci,romance,0.841172
lmo,ita,italian,0.834537
lmo,cat,romance,0.821408
lmo,spa,romance,0.815464
lmo,fra,romance,0.814390
lmo,por,romance,0.801958
lmo,eng,english,0.790896
lmo,deu,germanic,0.785984
lmo,slv,slavic,0.774822
lmo,hun,uralic,0.770078
lmo,hrv,slavic,0.765962
sc,oci,romance,0.882052
sc,spa,romance,0.871954
sc,cat,romance,0.866415
sc,ita,italian,0.864893
sc,por,romance,0.864856
sc,fra,romance,0.863603
sc,eng,english,0.846005
sc,deu,germanic,0.840661
sc,hrv,slavic,0.810703
sc,slv,slavic,0.809972
sc,hun,uralic,0.795729
scn,ita,italian,0.844685
scn,oci,romance,0.823733
scn,cat,romance,0.813556
scn,spa,romance,0.806341
scn,fra,romance,0.802164
scn,por,romance,0.796855
scn,eng,english,0.786688
scn,hrv,slavic,0.786192
scn,deu,germanic,0.782432
scn,slv,slavic,0.780051
scn,hun,uralic,0.749623
vec,ita,italian,0.872167
vec,oci,romance,0.863898
vec,spa,romance,0.857791
vec,cat,romance,0.856302
vec,por,romance,0.849453
vec,fra,romance,0.845690
vec,eng,english,0.835314
vec,deu,germanic,0.821847
vec,slv,slavic,0.815079
vec,hrv,slavic,0.808668
vec,hun,uralic,0.785675
