variety_A,variety_B,mean_similarity,family_A,family_B
spa,cat,0.921071,romance,romance
spa,por,0.917669,romance,romance
cat,oci,0.915657,romance,romance
slv,hrv,0.912145,slavic,slavic
spa,oci,0.905672,romance,romance
cat,por,0.905023,romance,romance
ita,spa,0.903474,italian,romance
ita,cat,0.902466,italian,romance
fra,cat,0.902049,romance,romance
spa,fra,0.897775,romance,romance
por,oci,0.897227,romance,romance
fra,oci,0.896680,romance,romance
ita,oci,0.892909,italian,romance
deu,eng,0.892108,germanic,english
ita,por,0.888954,italian,romance
cat,eng,0.885313,romance,english
spa,eng,0.885130,romance,english
sc,oci,0.882052,italo_romance,romance
fra,por,0.881143,romance,romance
ita,fra,0.880758,italian,romance
ita,eng,0.878130,italian,english
fra,eng,0.876420,romance,english
por,eng,0.875554,romance,english
oci,eng,0.872651,romance,english
vec,ita,0.872167,italo_romance,italian
sc,spa,0.871954,italo_romance,romance
spa,deu,0.867542,romance,germanic
sc,vec,0.866417,italo_romance,italo_romance
sc,cat,0.866415,italo_romance,romance
fra,deu,0.866212,romance,germanic
fur,ita,0.865949,italo_romance,italian
cat,deu,0.865405,romance,germanic
lij,ita,0.865355,italo_romance,italian
lij,vec,0.865154,italo_romance,italo_romance
sc,ita,0.864893,italo_romance,italian
sc,por,0.864856,italo_romance,romance
vec,oci,0.863898,italo_romance,romance
sc,fra,0.863603,italo_romance,romance
ita,deu,0.861740,italian,germanic
fur,lij,0.859632,italo_romance,italo_romance
vec,spa,0.857791,italo_romance,romance
lmo,vec,0.857371,italo_romance,italo_romance
lij,oci,0.857001,italo_romance,romance
fur,oci,0.856716,italo_romance,romance
lij,sc,0.856634,italo_romance,italo_romance
vec,cat,0.856302,italo_romance,romance
fur,cat,0.856063,italo_romance,romance
fur,sc,0.855848,italo_romance,italo_romance
lij,por,0.854684,italo_romance,romance
ita,slv,0.853960,italian,slavic
lij,lmo,0.852992,italo_romance,italo_romance
oci,deu,0.850859,romance,germanic
por,deu,0.850856,romance,germanic
ita,hrv,0.850748,italian,slavic
fur,vec,0.850621,italo_romance,italo_romance
spa,slv,0.850372,romance,slavic
fur,spa,0.850072,italo_romance,romance
lmo,sc,0.849479,italo_romance,italo_romance
vec,por,0.849453,italo_romance,romance
lij,spa,0.849037,italo_romance,romance
sc,scn,0.848786,italo_romance,italo_romance
fur,scn,0.848310,italo_romance,italo_romance
spa,hrv,0.848277,romance,slavic
fur,por,0.846963,italo_romance,romance
lij,cat,0.846791,italo_romance,romance
sc,eng,0.846005,italo_romance,english
fur,fra,0.845745,italo_romance,romance
vec,fra,0.845690,italo_romance,romance
scn,ita,0.844685,italo_romance,italian
lmo,oci,0.841172,italo_romance,romance
cat,slv,0.841046,romance,slavic
por,hrv,0.840913,romance,slavic
sc,deu,0.840661,italo_romance,germanic
cat,hrv,0.840186,romance,slavic
lij,fra,0.839500,italo_romance,romance
por,slv,0.839234,romance,slavic
lmo,scn,0.838866,italo_romance,italo_romance
eng,slv,0.836707,english,slavic
fur,lmo,0.836359,italo_romance,italo_romance
eng,hrv,0.836109,english,slavic
vec,eng,0.835314,italo_romance,english
lmo,ita,0.834537,italo_romance,italian
deu,slv,0.833111,germanic,slavic
deu,hrv,0.832373,germanic,slavic
lij,scn,0.831756,italo_romance,italo_romance
oci,slv,0.831268,romance,slavic
fur,eng,0.828890,italo_romance,english
scn,vec,0.828727,italo_romance,italo_romance
oci,hrv,0.827854,romance,slavic
spa,hun,0.826727,romance,uralic
scn,oci,0.823733,italo_romance,romance
lij,eng,0.823194,italo_romance,english
vec,deu,0.821847,italo_romance,germanic
lmo,cat,0.821408,italo_romance,romance
fra,hrv,0.820390,romance,slavic
fur,deu,0.819876,italo_romance,germanic
fra,slv,0.819821,romance,slavic
fur,slv,0.819758,italo_romance,slavic
cat,hun,0.818286,romance,uralic
fur,hrv,0.816699,italo_romance,slavic
por,hun,0.815750,romance,uralic
lmo,spa,0.815464,italo_romance,romance
vec,slv,0.815079,italo_romance,slavic
slv,hun,0.814806,slavic,uralic
lmo,fra,0.814390,italo_romance,romance
oci,hun,0.813670,romance,uralic
scn,cat,0.813556,italo_romance,romance
sc,hrv,0.810703,italo_romance,slavic
sc,slv,0.809972,italo_romance,slavic
vec,hrv,0.808668,italo_romance,slavic
lij,deu,0.807917,italo_romance,germanic
deu,hun,0.807490,germanic,uralic
fra,hun,0.807486,romance,uralic
scn,spa,0.806341,italo_romance,romance
lij,slv,0.806181,italo_romance,slavic
eng,hun,0.805497,english,uralic
hrv,hun,0.804202,slavic,uralic
scn,fra,0.802164,italo_romance,romance
lmo,por,0.801958,italo_romance,romance
ita,hun,0.801223,italian,uralic
lij,hrv,0.799331,italo_romance,slavic
scn,por,0.796855,italo_romance,romance
sc,hun,0.795729,italo_romance,uralic
lmo,eng,0.790896,italo_romance,english
scn,eng,0.786688,italo_romance,english
scn,hrv,0.786192,italo_romance,slavic
lmo,deu,0.785984,italo_romance,germanic
vec,hun,0.785675,italo_romance,uralic
scn,deu,0.782432,italo_romance,germanic
lij,hun,0.781441,italo_romance,uralic
scn,slv,0.780051,italo_romance,slavic
fur,hun,0.779822,italo_romance,uralic
lmo,slv,0.774822,italo_romance,slavic
lmo,hun,0.770078,italo_romance,uralic
lmo,hrv,0.765962,italo_romance,slavic
scn,hun,0.749623,italo_romance,uralic
