# Global clustering metrics
metric,value,clusterer
silhouette_global,-0.170956,family_labels
davies_bouldin,1.082978,family_labels
calinski_harabasz,3.131215,family_labels
cophenetic_correlation,0.876966,hierarchical
adjusted_rand_index,0.153488,hierarchical_cut
normalized_mutual_info,0.638960,hierarchical_cut
v_measure,0.638960,hierarchical_cut
adjusted_rand_index,0.138554,kmeans
normalized_mutual_info,0.633230,kmeans
v_measure,0.633230,kmeans

# Per-variety silhouette scores
variety,family,silhouette
fra,romance,0.453388
cat,romance,0.318512
deu,germanic,0.000000
ita,italian,0.000000
slv,slavic,0.000000
eng,english,0.000000
scn,italo_romance,-0.122399
spa,romance,-0.245933
sc,italo_romance,-0.312158
fur,italo_romance,-0.393508
lmo,italo_romance,-0.411698
lij,italo_romance,-0.700329
vec,italo_romance,-0.808305
