source,target,distance,similarity,target_family,target_display
cat,lmo,0.001827,0.998173,italo_romance,Lombard
cat,spa,0.001933,0.998067,romance,Spanish
cat,fra,0.002606,0.997394,romance,French
cat,vec,0.002942,0.997058,italo_romance,Venetian
cat,ita,0.003330,0.996670,italian,Italian
cat,fur,0.004128,0.995872,italo_romance,Friulian
cat,lij,0.005295,0.994705,italo_romance,Ligurian
cat,sc,0.007616,0.992384,italo_romance,Sardinian
cat,scn,0.014611,0.985389,italo_romance,Sicilian
cat,slv,0.017545,0.982455,slavic,Slovenian
cat,eng,0.021330,0.978670,english,English
cat,deu,0.027689,0.972311,germanic,German
deu,eng,0.007701,0.992299,english,English
deu,slv,0.016307,0.983693,slavic,Slovenian
deu,fra,0.024373,0.975627,romance,French
deu,cat,0.027689,0.972311,romance,Catalan
deu,spa,0.028140,0.971860,romance,Spanish
deu,lmo,0.031359,0.968641,italo_romance,Lombard
deu,vec,0.032171,0.967829,italo_romance,Venetian
deu,fur,0.033891,0.966109,italo_romance,Friulian
deu,ita,0.034401,0.965599,italian,Italian
deu,lij,0.035890,0.964110,italo_romance,Ligurian
deu,sc,0.035897,0.964103,italo_romance,Sardinian
deu,scn,0.053297,0.946703,italo_romance,Sicilian
eng,deu,0.007701,0.992299,germanic,German
eng,slv,0.015491,0.984509,slavic,Slovenian
eng,fra,0.018058,0.981942,romance,French
eng,spa,0.020224,0.979776,romance,Spanish
eng,cat,0.021330,0.978670,romance,Catalan
eng,vec,0.023273,0.976727,italo_romance,Venetian
eng,fur,0.024224,0.975776,italo_romance,Friulian
eng,ita,0.024490,0.975510,italian,Italian
eng,lmo,0.025830,0.974170,italo_romance,Lombard
eng,sc,0.026367,0.973633,italo_romance,Sardinian
eng,lij,0.026433,0.973567,italo_romance,Ligurian
eng,scn,0.042471,0.957529,italo_romance,Sicilian
fra,cat,0.002606,0.997394,romance,Catalan
fra,spa,0.003413,0.996587,romance,Spanish
fra,fur,0.005013,0.994987,italo_romance,Friulian
fra,ita,0.005506,0.994494,italian,Italian
fra,vec,0.006120,0.993880,italo_romance,Venetian
fra,lmo,0.006984,0.993016,italo_romance,Lombard
fra,lij,0.008564,0.991436,italo_romance,Ligurian
fra,sc,0.008967,0.991033,italo_romance,Sardinian
fra,eng,0.018058,0.981942,english,English
fra,slv,0.018863,0.981137,slavic,Slovenian
fra,scn,0.019220,0.980780,italo_romance,Sicilian
fra,deu,0.024373,0.975627,germanic,German
fur,cat,0.004128,0.995872,romance,Catalan
fur,fra,0.005013,0.994987,romance,French
fur,lmo,0.005353,0.994647,italo_romance,Lombard
fur,ita,0.005443,0.994557,italian,Italian
fur,spa,0.006118,0.993882,romance,Spanish
fur,vec,0.006611,0.993389,italo_romance,Venetian
fur,lij,0.008610,0.991390,italo_romance,Ligurian
fur,sc,0.010471,0.989529,italo_romance,Sardinian
fur,scn,0.010886,0.989114,italo_romance,Sicilian
fur,slv,0.018399,0.981601,slavic,Slovenian
fur,eng,0.024224,0.975776,english,English
fur,deu,0.033891,0.966109,germanic,German
ita,vec,0.001672,0.998328,italo_romance,Venetian
ita,spa,0.002016,0.997984,romance,Spanish
ita,lij,0.002858,0.997142,italo_romance,Ligurian
ita,cat,0.003330,0.996670,romance,Catalan
ita,lmo,0.005137,0.994863,italo_romance,Lombard
