,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,1.000000,0.983051,0.986946,0.980743,0.980298,0.985491,0.986206,0.984520,0.986602,0.987266,0.954537,0.968664,0.964773
lij,0.983051,1.000000,0.986678,0.978740,0.973220,0.989967,0.989322,0.985875,0.982282,0.985727,0.952188,0.966711,0.961964
lmo,0.986946,0.986678,1.000000,0.980341,0.978634,0.988053,0.986705,0.985251,0.983743,0.989376,0.956773,0.968164,0.962701
sc,0.980743,0.978740,0.980341,1.000000,0.977075,0.980121,0.981109,0.983745,0.982122,0.983564,0.952439,0.960317,0.962356
scn,0.980298,0.973220,0.978634,0.977075,1.000000,0.972962,0.978428,0.972160,0.970974,0.975657,0.934316,0.952655,0.945460
vec,0.985491,0.989967,0.988053,0.980121,0.972962,1.000000,0.990943,0.988689,0.984681,0.988353,0.955558,0.969229,0.965324
ita,0.986206,0.989322,0.986705,0.981109,0.978428,0.990943,1.000000,0.988621,0.985504,0.987919,0.953667,0.966939,0.963796
spa,0.984520,0.985875,0.985251,0.983745,0.972160,0.988689,0.988621,1.000000,0.987913,0.990470,0.960269,0.970409,0.968680
fra,0.986602,0.982282,0.983743,0.982122,0.970974,0.984681,0.985504,0.987913,1.000000,0.989511,0.964531,0.968359,0.971579
cat,0.987266,0.985727,0.989376,0.983564,0.975657,0.988353,0.987919,0.990470,0.989511,1.000000,0.960771,0.969209,0.968032
deu,0.954537,0.952188,0.956773,0.952439,0.934316,0.955558,0.953667,0.960269,0.964531,0.960771,1.000000,0.971589,0.981652
slv,0.968664,0.966711,0.968164,0.960317,0.952655,0.969229,0.966939,0.970409,0.968359,0.969209,0.971589,1.000000,0.970991
eng,0.964773,0.961964,0.962701,0.962356,0.945460,0.965324,0.963796,0.968680,0.971579,0.968032,0.981652,0.970991,1.000000
