variety_A,variety_B,mean_similarity,family_A,family_B
vec,ita,0.990943,italo_romance,italian
spa,cat,0.990470,romance,romance
lij,vec,0.989967,italo_romance,italo_romance
fra,cat,0.989511,romance,romance
lmo,cat,0.989376,italo_romance,romance
lij,ita,0.989322,italo_romance,italian
vec,spa,0.988689,italo_romance,romance
ita,spa,0.988621,italian,romance
vec,cat,0.988353,italo_romance,romance
lmo,vec,0.988053,italo_romance,italo_romance
ita,cat,0.987919,italian,romance
spa,fra,0.987913,romance,romance
fur,cat,0.987266,italo_romance,romance
fur,lmo,0.986946,italo_romance,italo_romance
lmo,ita,0.986705,italo_romance,italian
lij,lmo,0.986678,italo_romance,italo_romance
fur,fra,0.986602,italo_romance,romance
fur,ita,0.986206,italo_romance,italian
lij,spa,0.985875,italo_romance,romance
lij,cat,0.985727,italo_romance,romance
ita,fra,0.985504,italian,romance
fur,vec,0.985491,italo_romance,italo_romance
lmo,spa,0.985251,italo_romance,romance
vec,fra,0.984681,italo_romance,romance
fur,spa,0.984520,italo_romance,romance
sc,spa,0.983745,italo_romance,romance
lmo,fra,0.983743,italo_romance,romance
sc,cat,0.983564,italo_romance,romance
fur,lij,0.983051,italo_romance,italo_romance
lij,fra,0.982282,italo_romance,romance
sc,fra,0.982122,italo_romance,romance
deu,eng,0.981652,germanic,english
sc,ita,0.981109,italo_romance,italian
fur,sc,0.980743,italo_romance,italo_romance
lmo,sc,0.980341,italo_romance,italo_romance
fur,scn,0.980298,italo_romance,italo_romance
sc,vec,0.980121,italo_romance,italo_romance
lij,sc,0.978740,italo_romance,italo_romance
lmo,scn,0.978634,italo_romance,italo_romance
scn,ita,0.978428,italo_romance,italian
sc,scn,0.977075,italo_romance,italo_romance
scn,cat,0.975657,italo_romance,romance
lij,scn,0.973220,italo_romance,italo_romance
scn,vec,0.972962,italo_romance,italo_romance
scn,spa,0.972160,italo_romance,romance
deu,slv,0.971589,germanic,slavic
fra,eng,0.971579,romance,english
slv,eng,0.970991,slavic,english
scn,fra,0.970974,italo_romance,romance
spa,slv,0.970409,romance,slavic
vec,slv,0.969229,italo_romance,slavic
cat,slv,0.969209,romance,slavic
spa,eng,0.968680,romance,english
fur,slv,0.968664,italo_romance,slavic
fra,slv,0.968359,romance,slavic
lmo,slv,0.968164,italo_romance,slavic
cat,eng,0.968032,romance,english
ita,slv,0.966939,italian,slavic
lij,slv,0.966711,italo_romance,slavic
vec,eng,0.965324,italo_romance,english
fur,eng,0.964773,italo_romance,english
fra,deu,0.964531,romance,germanic
ita,eng,0.963796,italian,english
lmo,eng,0.962701,italo_romance,english
sc,eng,0.962356,italo_romance,english
lij,eng,0.961964,italo_romance,english
cat,deu,0.960771,romance,germanic
sc,slv,0.960317,italo_romance,slavic
spa,deu,0.960269,romance,germanic
lmo,deu,0.956773,italo_romance,germanic
vec,deu,0.955558,italo_romance,germanic
fur,deu,0.954537,italo_romance,germanic
ita,deu,0.953667,italian,germanic
scn,slv,0.952655,italo_romance,slavic
sc,deu,0.952439,italo_romance,germanic
lij,deu,0.952188,italo_romance,germanic
scn,eng,0.945460,italo_romance,english
scn,deu,0.934316,italo_romance,germanic
