,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,0.000000,0.058224,0.020954,0.043330,0.058470,0.037412,0.029132,0.028387,0.014659,0.016301,0.090267,0.066422,0.065905
lij,0.058224,0.000000,0.028645,0.042480,0.066249,0.017648,0.014136,0.024866,0.046873,0.033071,0.127087,0.088777,0.095299
lmo,0.020954,0.028645,0.000000,0.030200,0.051331,0.020936,0.015491,0.016193,0.017865,0.005534,0.089026,0.066903,0.065961
sc,0.043330,0.042480,0.030200,0.000000,0.050264,0.035605,0.028058,0.020845,0.031701,0.026289,0.106203,0.088802,0.075110
scn,0.058470,0.066249,0.051331,0.050264,0.000000,0.072197,0.049409,0.068809,0.071724,0.061559,0.143869,0.109984,0.118089
vec,0.037412,0.017648,0.020936,0.035605,0.072197,0.000000,0.006083,0.007271,0.029084,0.018525,0.112038,0.066847,0.079209
ita,0.029132,0.014136,0.015491,0.028058,0.049409,0.006083,0.000000,0.008046,0.022906,0.014195,0.104535,0.067647,0.072026
spa,0.028387,0.024866,0.016193,0.020845,0.068809,0.007271,0.008046,0.000000,0.014837,0.008930,0.090414,0.059528,0.060741
fra,0.014659,0.046873,0.017865,0.031701,0.071724,0.029084,0.022906,0.014837,0.000000,0.006764,0.061378,0.057811,0.043733
cat,0.016301,0.033071,0.005534,0.026289,0.061559,0.018525,0.014195,0.008930,0.006764,0.000000,0.076866,0.060182,0.052270
deu,0.090267,0.127087,0.089026,0.106203,0.143869,0.112038,0.104535,0.090414,0.061378,0.076866,0.000000,0.047733,0.022693
slv,0.066422,0.088777,0.066903,0.088802,0.109984,0.066847,0.067647,0.059528,0.057811,0.060182,0.047733,0.000000,0.046880
eng,0.065905,0.095299,0.065961,0.075110,0.118089,0.079209,0.072026,0.060741,0.043733,0.052270,0.022693,0.046880,0.000000
