dialect,reference,ref_family,mean_similarity
fur,fra,romance,0.967008
fur,cat,romance,0.964838
fur,ita,italian,0.952648
fur,spa,romance,0.951253
fur,eng,english,0.910987
fur,slv,slavic,0.908901
fur,deu,germanic,0.887951
lij,ita,italian,0.968460
lij,spa,romance,0.953417
lij,cat,romance,0.947161
lij,fra,romance,0.933140
lij,slv,slavic,0.885359
lij,eng,english,0.880743
lij,deu,germanic,0.850665
lmo,cat,romance,0.974701
lmo,ita,italian,0.966108
lmo,spa,romance,0.961698
lmo,fra,romance,0.961448
lmo,eng,english,0.909550
lmo,slv,slavic,0.906790
lmo,deu,germanic,0.888017
sc,spa,romance,0.960021
sc,cat,romance,0.954958
sc,ita,italian,0.952664
sc,fra,romance,0.949702
sc,eng,english,0.901573
sc,slv,slavic,0.886833
sc,deu,germanic,0.872017
scn,ita,italian,0.933034
scn,cat,romance,0.918365
scn,spa,romance,0.910029
scn,fra,romance,0.908375
scn,slv,slavic,0.864615
scn,eng,english,0.858027
scn,deu,germanic,0.833578
vec,ita,italian,0.978034
vec,spa,romance,0.971740
vec,cat,romance,0.962408
vec,fra,romance,0.951037
vec,slv,slavic,0.907486
vec,eng,english,0.897087
vec,deu,germanic,0.865144
