,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,0.000000,0.053544,0.019720,0.038080,0.055660,0.033958,0.025945,0.025779,0.014775,0.014919,0.079393,0.058167,0.050489
lij,0.053544,0.000000,0.026912,0.040527,0.063731,0.015637,0.013390,0.022785,0.043581,0.029700,0.115356,0.081262,0.079082
lmo,0.019720,0.026912,0.000000,0.026793,0.048655,0.020523,0.014369,0.015533,0.016116,0.005577,0.078358,0.062298,0.052676
sc,0.038080,0.040527,0.026793,0.000000,0.044050,0.033470,0.025746,0.019668,0.028787,0.024049,0.095805,0.080412,0.061157
scn,0.055660,0.063731,0.048655,0.044050,0.000000,0.068705,0.046912,0.064652,0.068638,0.058510,0.131308,0.101429,0.101605
vec,0.033958,0.015637,0.020523,0.033470,0.068705,0.000000,0.005298,0.006601,0.026502,0.015573,0.100864,0.061777,0.064615
ita,0.025945,0.013390,0.014369,0.025746,0.046912,0.005298,0.000000,0.006982,0.020735,0.011753,0.091831,0.059667,0.056403
spa,0.025779,0.022785,0.015533,0.019668,0.064652,0.006601,0.006982,0.000000,0.014432,0.007725,0.081867,0.054390,0.048095
fra,0.014775,0.043581,0.016116,0.028787,0.068638,0.026502,0.020735,0.014432,0.000000,0.006636,0.053800,0.052869,0.032946
cat,0.014919,0.029700,0.005577,0.024049,0.058510,0.015573,0.011753,0.007725,0.006636,0.000000,0.069761,0.054044,0.040872
deu,0.079393,0.115356,0.078358,0.095805,0.131308,0.100864,0.091831,0.081867,0.053800,0.069761,0.000000,0.042359,0.022863
slv,0.058167,0.081262,0.062298,0.080412,0.101429,0.061777,0.059667,0.054390,0.052869,0.054044,0.042359,0.000000,0.041336
eng,0.050489,0.079082,0.052676,0.061157,0.101605,0.064615,0.056403,0.048095,0.032946,0.040872,0.022863,0.041336,0.000000
