code,nn_1,dist_1,nn_2,dist_2,nn_3,dist_3
fur,fra,0.014774560928344727,cat,0.0149192214012146,lmo,0.01972019672393799
lij,ita,0.013389945030212402,vec,0.015636563301086426,spa,0.022784650325775146
lmo,cat,0.005577445030212402,ita,0.01436924934387207,spa,0.015533208847045898
sc,spa,0.019667506217956543,cat,0.024049460887908936,ita,0.025745511054992676
scn,sc,0.04405033588409424,ita,0.04691237211227417,lmo,0.04865545034408569
vec,ita,0.005297660827636719,spa,0.006601095199584961,cat,0.015572845935821533
ita,vec,0.005297660827636719,spa,0.006982088088989258,cat,0.011753201484680176
spa,vec,0.006601095199584961,ita,0.006982088088989258,cat,0.00772547721862793
fra,cat,0.006635785102844238,spa,0.014432430267333984,fur,0.014774560928344727
cat,lmo,0.005577445030212402,fra,0.006635785102844238,spa,0.00772547721862793
deu,eng,0.022862911224365234,slv,0.0423588752746582,fra,0.05379951000213623
slv,eng,0.0413362979888916,deu,0.0423588752746582,fra,0.052869319915771484
eng,deu,0.022862911224365234,fra,0.03294581174850464,cat,0.04087197780609131
