,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,1.000000,0.983973,0.986710,0.981153,0.976889,0.985604,0.985080,0.980630,0.979556,0.984090,0.971472,0.970682,0.974523
lij,0.983973,1.000000,0.985791,0.978526,0.969676,0.988868,0.986552,0.982287,0.977534,0.982199,0.970284,0.971318,0.975240
lmo,0.986710,0.985791,1.000000,0.977562,0.973391,0.987581,0.984635,0.980467,0.977764,0.984218,0.971898,0.969773,0.974042
sc,0.981153,0.978526,0.977562,1.000000,0.970202,0.978517,0.977502,0.981170,0.979260,0.981672,0.966389,0.962225,0.971209
scn,0.976889,0.969676,0.973391,0.970202,1.000000,0.968138,0.972189,0.960030,0.957435,0.964496,0.952704,0.954757,0.955748
vec,0.985604,0.988868,0.987581,0.978517,0.968138,1.000000,0.988083,0.984123,0.979283,0.985313,0.970751,0.972555,0.976052
ita,0.985080,0.986552,0.984635,0.977502,0.972189,0.988083,1.000000,0.982918,0.978953,0.983573,0.968635,0.969984,0.974504
spa,0.980630,0.982287,0.980467,0.981170,0.960030,0.984123,0.982918,1.000000,0.983386,0.987795,0.969860,0.969179,0.975678
fra,0.979556,0.977534,0.977764,0.979260,0.957435,0.979283,0.978953,0.983386,1.000000,0.986049,0.975392,0.961916,0.976519
cat,0.984090,0.982199,0.984218,0.981672,0.964496,0.985313,0.983573,0.987795,0.986049,1.000000,0.972430,0.967935,0.977317
deu,0.971472,0.970284,0.971898,0.966389,0.952704,0.970751,0.968635,0.969860,0.975392,0.972430,1.000000,0.965638,0.977022
slv,0.970682,0.971318,0.969773,0.962225,0.954757,0.972555,0.969984,0.969179,0.961916,0.967935,0.965638,1.000000,0.967411
eng,0.974523,0.975240,0.974042,0.971209,0.955748,0.976052,0.974504,0.975678,0.976519,0.977317,0.977022,0.967411,1.000000
