dialect,reference,ref_family,mean_similarity
fur,ita,italian,0.985080
fur,cat,romance,0.984090
fur,spa,romance,0.980630
fur,fra,romance,0.979556
fur,eng,english,0.974523
fur,deu,germanic,0.971472
fur,slv,slavic,0.970682
lij,ita,italian,0.986552
lij,spa,romance,0.982287
lij,cat,romance,0.982199
lij,fra,romance,0.977534
lij,eng,english,0.975240
lij,slv,slavic,0.971318
lij,deu,germanic,0.970284
lmo,ita,italian,0.984635
lmo,cat,romance,0.984218
lmo,spa,romance,0.980467
lmo,fra,romance,0.977764
lmo,eng,english,0.974042
lmo,deu,germanic,0.971898
lmo,slv,slavic,0.969773
sc,cat,romance,0.981672
sc,spa,romance,0.981170
sc,fra,romance,0.979260
sc,ita,italian,0.977502
sc,eng,english,0.971209
sc,deu,germanic,0.966389
sc,slv,slavic,0.962225
scn,ita,italian,0.972189
scn,cat,romance,0.964496
scn,spa,romance,0.960030
scn,fra,romance,0.957435
scn,eng,english,0.955748
scn,slv,slavic,0.954757
scn,deu,germanic,0.952704
vec,ita,italian,0.988083
vec,cat,romance,0.985313
vec,spa,romance,0.984123
vec,fra,romance,0.979283
vec,eng,english,0.976052
vec,slv,slavic,0.972555
vec,deu,germanic,0.970751
