,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,por,ron,oci,glg,deu,eng,slv,hrv,sqi,hun
fur,1.000000,0.956571,0.959783,0.941756,0.918102,0.947950,0.973312,0.965157,0.980494,0.979714,0.966537,0.986202,0.979314,0.964169,0.892190,0.935821,0.912119,0.921945,0.920864,0.840684
lij,0.956571,1.000000,0.933738,0.931498,0.903260,0.948151,0.971960,0.954604,0.956314,0.949703,0.977894,0.967696,0.949668,0.977563,0.849187,0.896623,0.886782,0.897676,0.887074,0.814404
lmo,0.959783,0.933738,1.000000,0.949581,0.928328,0.956773,0.962358,0.963694,0.969541,0.984918,0.947021,0.950466,0.985732,0.950491,0.874519,0.904042,0.879633,0.890571,0.895972,0.852651
sc,0.941756,0.931498,0.949581,1.000000,0.942264,0.952292,0.962870,0.979194,0.960812,0.964279,0.970512,0.937581,0.970931,0.974393,0.867477,0.913030,0.858118,0.874909,0.868183,0.806656
scn,0.918102,0.903260,0.928328,0.942264,1.000000,0.902348,0.930756,0.919816,0.909560,0.921371,0.913920,0.915515,0.931510,0.918248,0.801606,0.846530,0.818467,0.842787,0.837339,0.756118
vec,0.947950,0.948151,0.956773,0.952292,0.902348,1.000000,0.984567,0.983591,0.964906,0.968785,0.971946,0.948470,0.964356,0.976022,0.852695,0.917025,0.888201,0.897373,0.870076,0.817360
ita,0.973312,0.971960,0.962358,0.962870,0.930756,0.984567,1.000000,0.990085,0.978793,0.981734,0.986647,0.973173,0.978846,0.987762,0.873282,0.934481,0.900620,0.910494,0.886803,0.823429
spa,0.965157,0.954604,0.963694,0.979194,0.919816,0.983591,0.990085,1.000000,0.983116,0.986338,0.988718,0.961764,0.984496,0.991380,0.882106,0.939728,0.894698,0.904442,0.883888,0.827305
fra,0.980494,0.956314,0.969541,0.960812,0.909560,0.964906,0.978793,0.983116,1.000000,0.991698,0.976985,0.977929,0.989225,0.977294,0.913729,0.948001,0.908328,0.916512,0.922683,0.861450
cat,0.979714,0.949703,0.984918,0.964279,0.921371,0.968785,0.981734,0.986338,0.991698,1.000000,0.975143,0.972761,0.997475,0.975480,0.899207,0.940801,0.903395,0.912183,0.909027,0.854295
por,0.966537,0.977894,0.947021,0.970512,0.913920,0.971946,0.986647,0.988718,0.976985,0.975143,1.000000,0.971799,0.976024,0.998308,0.877674,0.933651,0.904240,0.914811,0.895915,0.828227
ron,0.986202,0.967696,0.950466,0.937581,0.915515,0.948470,0.973173,0.961764,0.977929,0.972761,0.971799,1.000000,0.974172,0.968864,0.901017,0.932588,0.934514,0.945201,0.937179,0.865566
oci,0.979314,0.949668,0.985732,0.970931,0.931510,0.964356,0.978846,0.984496,0.989225,0.997475,0.976024,0.974172,1.000000,0.976407,0.899757,0.938046,0.906152,0.916322,0.915055,0.859165
glg,0.964169,0.977563,0.950491,0.974393,0.918248,0.976022,0.987762,0.991380,0.977294,0.975480,0.998308,0.968864,0.976407,1.000000,0.873798,0.930713,0.898183,0.909160,0.890435,0.824750
deu,0.892190,0.849187,0.874519,0.867477,0.801606,0.852695,0.873282,0.882106,0.913729,0.899207,0.877674,0.901017,0.899757,0.873798,1.000000,0.955661,0.931645,0.928575,0.935194,0.936994
eng,0.935821,0.896623,0.904042,0.913030,0.846530,0.917025,0.934481,0.939728,0.948001,0.940801,0.933651,0.932588,0.938046,0.930713,0.955661,1.000000,0.935735,0.935113,0.921628,0.892805
slv,0.912119,0.886782,0.879633,0.858118,0.818467,0.888201,0.900620,0.894698,0.908328,0.903395,0.904240,0.934514,0.906152,0.898183,0.931645,0.935735,1.000000,0.997096,0.959794,0.945694
hrv,0.921945,0.897676,0.890571,0.874909,0.842787,0.897373,0.910494,0.904442,0.916512,0.912183,0.914811,0.945201,0.916322,0.909160,0.928575,0.935113,0.997096,1.000000,0.963435,0.938299
sqi,0.920864,0.887074,0.895972,0.868183,0.837339,0.870076,0.886803,0.883888,0.922683,0.909027,0.895915,0.937179,0.915055,0.890435,0.935194,0.921628,0.959794,0.963435,1.000000,0.941553
hun,0.840684,0.814404,0.852651,0.806656,0.756118,0.817360,0.823429,0.827305,0.861450,0.854295,0.828227,0.865566,0.859165,0.824750,0.936994,0.892805,0.945694,0.938299,0.941553,1.000000
