dialect,reference,ref_family,mean_similarity
fur,ron,romance,0.959446
fur,cat,romance,0.956655
fur,fra,romance,0.956584
fur,oci,romance,0.956143
fur,ita,italian,0.951908
fur,spa,romance,0.940989
fur,por,romance,0.938981
fur,glg,romance,0.936450
fur,eng,english,0.908380
fur,sqi,albanian,0.886976
fur,hrv,slavic,0.885906
fur,slv,slavic,0.876354
fur,deu,germanic,0.863565
fur,hun,uralic,0.803818
lij,por,romance,0.948477
lij,ita,italian,0.948454
lij,glg,romance,0.947212
lij,ron,romance,0.937080
lij,fra,romance,0.927780
lij,spa,romance,0.925565
lij,cat,romance,0.922545
lij,oci,romance,0.922332
lij,eng,english,0.865228
lij,hrv,slavic,0.857172
lij,sqi,albanian,0.849402
lij,slv,slavic,0.846148
lij,deu,germanic,0.816724
lij,hun,uralic,0.773466
lmo,cat,romance,0.954800
lmo,oci,romance,0.954463
lmo,fra,romance,0.936830
lmo,ita,italian,0.935326
lmo,spa,romance,0.931525
lmo,ron,romance,0.917267
lmo,glg,romance,0.916443
lmo,por,romance,0.913735
lmo,eng,english,0.869246
lmo,sqi,albanian,0.855831
lmo,hrv,slavic,0.847513
lmo,deu,germanic,0.838912
lmo,slv,slavic,0.837001
lmo,hun,uralic,0.807171
sc,spa,romance,0.957942
sc,glg,romance,0.950459
sc,oci,romance,0.949095
sc,por,romance,0.946639
sc,cat,romance,0.942732
sc,ita,italian,0.941486
sc,fra,romance,0.938111
sc,ron,romance,0.912775
sc,eng,english,0.887285
sc,hrv,slavic,0.840558
sc,deu,germanic,0.840134
sc,sqi,albanian,0.836777
sc,slv,slavic,0.824960
sc,hun,uralic,0.772294
scn,ita,italian,0.910830
scn,oci,romance,0.907818
scn,cat,romance,0.897755
scn,spa,romance,0.895687
scn,glg,romance,0.892335
scn,ron,romance,0.889757
scn,por,romance,0.888303
scn,fra,romance,0.885455
scn,eng,english,0.820410
scn,hrv,slavic,0.808237
scn,sqi,albanian,0.804831
scn,slv,slavic,0.784528
scn,deu,germanic,0.773797
scn,hun,uralic,0.721596
vec,ita,italian,0.964542
vec,spa,romance,0.957552
vec,glg,romance,0.947974
vec,cat,romance,0.944746
vec,por,romance,0.944440
vec,oci,romance,0.939883
vec,fra,romance,0.939059
vec,ron,romance,0.921714
vec,eng,english,0.888388
vec,hrv,slavic,0.859933
vec,slv,slavic,0.851345
vec,sqi,albanian,0.835660
vec,deu,germanic,0.822422
vec,hun,uralic,0.778992
