variety_A,variety_B,mean_similarity,family_A,family_B
por,glg,0.979137,romance,romance
cat,oci,0.978349,romance,romance
spa,glg,0.971345,romance,romance
fra,cat,0.969391,romance,romance
fra,oci,0.968861,romance,romance
ita,spa,0.967082,italian,romance
spa,por,0.966818,romance,romance
spa,cat,0.966687,romance,romance
slv,hrv,0.964927,slavic,slavic
vec,ita,0.964542,italo_romance,italian
spa,oci,0.962860,romance,romance
ita,glg,0.961538,italian,romance
ita,por,0.960251,italian,romance
spa,fra,0.959895,romance,romance
ita,cat,0.959846,italian,romance
fur,ron,0.959446,italo_romance,romance
sc,spa,0.957942,italo_romance,romance
vec,spa,0.957552,italo_romance,romance
fur,cat,0.956655,italo_romance,romance
fur,fra,0.956584,italo_romance,romance
fur,oci,0.956143,italo_romance,romance
ita,oci,0.956060,italian,romance
ita,fra,0.955214,italian,romance
lmo,cat,0.954800,italo_romance,romance
lmo,oci,0.954463,italo_romance,romance
cat,glg,0.953379,romance,romance
por,oci,0.952743,romance,romance
oci,glg,0.952543,romance,romance
cat,por,0.952172,romance,romance
fur,ita,0.951908,italo_romance,italian
fra,ron,0.951561,romance,romance
fra,glg,0.951317,romance,romance
fra,por,0.951295,romance,romance
sc,glg,0.950459,italo_romance,romance
sc,oci,0.949095,italo_romance,romance
lij,por,0.948477,italo_romance,romance
lij,ita,0.948454,italo_romance,italian
ron,oci,0.948102,romance,romance
vec,glg,0.947974,italo_romance,romance
ita,ron,0.947880,italian,romance
lij,glg,0.947212,italo_romance,romance
cat,ron,0.947186,romance,romance
sc,por,0.946639,italo_romance,romance
vec,cat,0.944746,italo_romance,romance
vec,por,0.944440,italo_romance,romance
sc,cat,0.942732,italo_romance,romance
por,ron,0.941980,romance,romance
sc,ita,0.941486,italo_romance,italian
fur,spa,0.940989,italo_romance,romance
vec,oci,0.939883,italo_romance,romance
vec,fra,0.939059,italo_romance,romance
fur,por,0.938981,italo_romance,romance
ron,glg,0.938931,romance,romance
sc,fra,0.938111,italo_romance,romance
lij,ron,0.937080,italo_romance,romance
lmo,fra,0.936830,italo_romance,romance
