# Global clustering metrics
metric,value,clusterer
silhouette_global,-0.109713,family_labels
davies_bouldin,1.291469,family_labels
calinski_harabasz,1.123090,family_labels
cophenetic_correlation,0.723914,hierarchical
adjusted_rand_index,0.000000,hierarchical_cut
normalized_mutual_info,0.546745,hierarchical_cut
v_measure,0.546745,hierarchical_cut
adjusted_rand_index,-0.111842,kmeans
normalized_mutual_info,0.461778,kmeans
v_measure,0.461778,kmeans

# Per-variety silhouette scores
variety,family,silhouette
fra,romance,0.423311
cat,romance,0.421969
spa,romance,0.105581
ita,italian,0.000000
slv,slavic,0.000000
eng,english,0.000000
deu,germanic,0.000000
fur,italo_romance,-0.239903
lmo,italo_romance,-0.281568
sc,italo_romance,-0.335159
scn,italo_romance,-0.381070
lij,italo_romance,-0.556067
vec,italo_romance,-0.583363
