,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,0.000000,1.554381,0.897718,1.193651,0.954360,1.262693,1.305963,1.192836,0.642154,0.838790,1.261816,0.966227,1.245548
lij,1.554381,0.000000,1.209800,1.280337,1.323532,0.574999,0.527663,0.898037,1.296750,1.265681,0.876125,0.909948,0.884493
lmo,0.897718,1.209800,0.000000,1.174651,1.075140,1.124687,1.349681,1.224792,0.969197,0.408427,0.787688,1.209842,1.172484
sc,1.193651,1.280337,1.174651,0.000000,0.952715,1.345446,1.464930,0.869040,0.976077,1.156162,0.790736,1.288058,0.849998
scn,0.954360,1.323532,1.075140,0.952715,0.000000,1.648623,1.261671,1.745212,1.393478,1.458365,0.737068,0.842692,0.936915
vec,1.262693,0.574999,1.124687,1.345446,1.648623,0.000000,0.496335,0.429532,1.128833,0.977165,1.348979,0.729781,1.085326
ita,1.305963,0.527663,1.349681,1.464930,1.261671,0.496335,0.000000,0.792038,1.141717,1.185314,1.131921,0.884936,0.823896
spa,1.192836,0.898037,1.224792,0.869040,1.745212,0.429532,0.792038,0.000000,0.700091,0.716736,1.312772,0.994380,1.103713
fra,0.642154,1.296750,0.969197,0.976077,1.393478,1.128833,1.141717,0.700091,0.000000,0.459478,1.005368,1.426132,1.147121
cat,0.838790,1.265681,0.408427,1.156162,1.458365,0.977165,1.185314,0.716736,0.459478,0.000000,1.068950,1.288399,1.162842
deu,1.261816,0.876125,0.787688,0.790736,0.737068,1.348979,1.131921,1.312772,1.005368,1.068950,0.000000,1.595981,1.082040
slv,0.966227,0.909948,1.209842,1.288058,0.842692,0.729781,0.884936,0.994380,1.426132,1.288399,1.595981,0.000000,1.473759
eng,1.245548,0.884493,1.172484,0.849998,0.936915,1.085326,0.823896,1.103713,1.147121,1.162842,1.082040,1.473759,0.000000
