code,nn_1,dist_1,nn_2,dist_2,nn_3,dist_3
fur,fra,0.6421536803245544,cat,0.8387902975082397,lmo,0.8977183103561401
lij,ita,0.5276631712913513,vec,0.574998676776886,deu,0.8761252164840698
lmo,cat,0.4084274172782898,deu,0.7876880764961243,fur,0.8977183103561401
sc,deu,0.7907357215881348,eng,0.8499977588653564,spa,0.8690404295921326
scn,deu,0.7370677590370178,slv,0.8426923155784607,eng,0.9369147419929504
vec,spa,0.4295315742492676,ita,0.49633491039276123,lij,0.574998676776886
ita,vec,0.49633491039276123,lij,0.5276631712913513,spa,0.7920376062393188
spa,vec,0.4295315742492676,fra,0.7000905871391296,cat,0.7167356014251709
fra,cat,0.459478497505188,fur,0.6421536803245544,spa,0.7000905871391296
cat,lmo,0.4084274172782898,fra,0.459478497505188,spa,0.7167356014251709
deu,scn,0.7370677590370178,lmo,0.7876880764961243,sc,0.7907357215881348
slv,vec,0.7297810912132263,scn,0.8426923155784607,ita,0.8849363327026367
eng,ita,0.8238959312438965,sc,0.8499977588653564,lij,0.8844930529594421
