Silhouette report (CANINE adapted (FLORES centroid, dialects-norm))
============================================================
  n_varieties           = 13
  linkage_method        = average
  silhouette (family)   = -0.1097
  silhouette (romance)  = -0.0675

Notes:
  Silhouette range [-1, 1].  >0.5 excellent, >0.2 good, ~0 no structure.

Per-variety silhouette scores (sorted descending):
  variety               family            silhouette
  ----------------------------------------------------
  fra                   romance              +0.4233
  cat                   romance              +0.4220
  spa                   romance              +0.1056
  deu                   germanic             +0.0000
  eng                   english              +0.0000
  slv                   slavic               +0.0000
  ita                   italian              +0.0000
  fur                   italo_romance        -0.2399
  lmo                   italo_romance        -0.2816
  sc                    italo_romance        -0.3352
  scn                   italo_romance        -0.3811
  lij                   italo_romance        -0.5561
  vec                   italo_romance        -0.5834
