,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,1.000000,-0.554381,0.102282,-0.193651,0.045640,-0.262693,-0.305963,-0.192836,0.357846,0.161210,-0.261816,0.033773,-0.245548
lij,-0.554381,1.000000,-0.209800,-0.280337,-0.323532,0.425001,0.472337,0.101963,-0.296750,-0.265681,0.123875,0.090052,0.115507
lmo,0.102282,-0.209800,1.000000,-0.174651,-0.075140,-0.124687,-0.349681,-0.224792,0.030803,0.591573,0.212312,-0.209842,-0.172484
sc,-0.193651,-0.280337,-0.174651,1.000000,0.047285,-0.345446,-0.464930,0.130960,0.023923,-0.156162,0.209264,-0.288058,0.150002
scn,0.045640,-0.323532,-0.075140,0.047285,1.000000,-0.648623,-0.261671,-0.745212,-0.393478,-0.458365,0.262932,0.157308,0.063085
vec,-0.262693,0.425001,-0.124687,-0.345446,-0.648623,1.000000,0.503665,0.570468,-0.128833,0.022835,-0.348979,0.270219,-0.085326
ita,-0.305963,0.472337,-0.349681,-0.464930,-0.261671,0.503665,1.000000,0.207962,-0.141717,-0.185314,-0.131921,0.115064,0.176104
spa,-0.192836,0.101963,-0.224792,0.130960,-0.745212,0.570468,0.207962,1.000000,0.299909,0.283264,-0.312772,0.005620,-0.103713
fra,0.357846,-0.296750,0.030803,0.023923,-0.393478,-0.128833,-0.141717,0.299909,1.000000,0.540522,-0.005368,-0.426132,-0.147121
cat,0.161210,-0.265681,0.591573,-0.156162,-0.458365,0.022835,-0.185314,0.283264,0.540522,1.000000,-0.068950,-0.288399,-0.162842
deu,-0.261816,0.123875,0.212312,0.209264,0.262932,-0.348979,-0.131921,-0.312772,-0.005368,-0.068950,1.000000,-0.595981,-0.082040
slv,0.033773,0.090052,-0.209842,-0.288058,0.157308,0.270219,0.115064,0.005620,-0.426132,-0.288399,-0.595981,1.000000,-0.473759
eng,-0.245548,0.115507,-0.172484,0.150002,0.063085,-0.085326,0.176104,-0.103713,-0.147121,-0.162842,-0.082040,-0.473759,1.000000
