code,nn_1,dist_1,nn_2,dist_2,nn_3,dist_3
fur,fra,0.018584370613098145,cat,0.018822789192199707,lmo,0.023069381713867188
lij,ita,0.011795461177825928,vec,0.015934467315673828,spa,0.022101640701293945
lmo,cat,0.005403339862823486,ita,0.014956116676330566,spa,0.01534271240234375
sc,spa,0.02033090591430664,cat,0.024878263473510742,lmo,0.028075098991394043
scn,ita,0.043911516666412354,lmo,0.04652124643325806,sc,0.05083155632019043
vec,spa,0.007225513458251953,ita,0.007600307464599609,cat,0.014554738998413086
ita,vec,0.007600307464599609,spa,0.008556485176086426,cat,0.01167154312133789
spa,cat,0.006939411163330078,vec,0.007225513458251953,ita,0.008556485176086426
fra,cat,0.007875919342041016,spa,0.012644827365875244,fur,0.018584370613098145
cat,lmo,0.005403339862823486,spa,0.006939411163330078,fra,0.007875919342041016
deu,eng,0.026379108428955078,slv,0.041876018047332764,fra,0.061914801597595215
slv,eng,0.04066753387451172,deu,0.041876018047332764,fra,0.05838167667388916
eng,deu,0.026379108428955078,fra,0.03712868690490723,slv,0.04066753387451172
