source,target,distance,similarity,target_family,target_display
cat,lmo,0.005403,0.994597,italo_romance,Lombard
cat,spa,0.006939,0.993061,romance,Spanish
cat,fra,0.007876,0.992124,romance,French
cat,ita,0.011672,0.988328,italian,Italian
cat,vec,0.014555,0.985445,italo_romance,Venetian
cat,fur,0.018823,0.981177,italo_romance,Friulian
cat,sc,0.024878,0.975122,italo_romance,Sardinian
cat,lij,0.028481,0.971519,italo_romance,Ligurian
cat,eng,0.045566,0.954434,english,English
cat,scn,0.055541,0.944459,italo_romance,Sicilian
cat,slv,0.064164,0.935836,slavic,Slovenian
cat,deu,0.079318,0.920682,germanic,German
deu,eng,0.026379,0.973621,english,English
deu,slv,0.041876,0.958124,slavic,Slovenian
deu,fra,0.061915,0.938085,romance,French
deu,cat,0.079318,0.920682,romance,Catalan
deu,spa,0.090281,0.909719,romance,Spanish
deu,lmo,0.091783,0.908217,italo_romance,Lombard
deu,fur,0.095525,0.904475,italo_romance,Friulian
deu,sc,0.105518,0.894482,italo_romance,Sardinian
deu,ita,0.107983,0.892017,italian,Italian
deu,vec,0.108217,0.891783,italo_romance,Venetian
deu,lij,0.133614,0.866386,italo_romance,Ligurian
deu,scn,0.152589,0.847411,italo_romance,Sicilian
eng,deu,0.026379,0.973621,germanic,German
eng,fra,0.037129,0.962871,romance,French
eng,slv,0.040668,0.959332,slavic,Slovenian
eng,cat,0.045566,0.954434,romance,Catalan
eng,spa,0.050657,0.949343,romance,Spanish
eng,lmo,0.058285,0.941715,italo_romance,Lombard
eng,ita,0.060516,0.939484,italian,Italian
eng,fur,0.061902,0.938098,italo_romance,Friulian
eng,vec,0.063164,0.936836,italo_romance,Venetian
eng,sc,0.065086,0.934914,italo_romance,Sardinian
eng,lij,0.084122,0.915878,italo_romance,Ligurian
eng,scn,0.107690,0.892310,italo_romance,Sicilian
fra,cat,0.007876,0.992124,romance,Catalan
fra,spa,0.012645,0.987355,romance,Spanish
fra,fur,0.018584,0.981416,italo_romance,Friulian
fra,lmo,0.019347,0.980653,italo_romance,Lombard
fra,ita,0.022064,0.977936,italian,Italian
fra,vec,0.025931,0.974069,italo_romance,Venetian
fra,sc,0.030548,0.969452,italo_romance,Sardinian
fra,eng,0.037129,0.962871,english,English
fra,lij,0.043624,0.956376,italo_romance,Ligurian
fra,slv,0.058382,0.941618,slavic,Slovenian
fra,deu,0.061915,0.938085,germanic,German
fra,scn,0.071290,0.928710,italo_romance,Sicilian
fur,fra,0.018584,0.981416,romance,French
fur,cat,0.018823,0.981177,romance,Catalan
fur,lmo,0.023069,0.976931,italo_romance,Lombard
fur,spa,0.026771,0.973229,romance,Spanish
fur,ita,0.028894,0.971106,italian,Italian
fur,vec,0.035293,0.964707,italo_romance,Venetian
fur,sc,0.042587,0.957413,italo_romance,Sardinian
fur,lij,0.055835,0.944165,italo_romance,Ligurian
fur,scn,0.056762,0.943238,italo_romance,Sicilian
fur,eng,0.061902,0.938098,english,English
fur,slv,0.069827,0.930173,slavic,Slovenian
fur,deu,0.095525,0.904475,germanic,German
ita,vec,0.007600,0.992400,italo_romance,Venetian
ita,spa,0.008556,0.991444,romance,Spanish
ita,cat,0.011672,0.988328,romance,Catalan
ita,lij,0.011795,0.988205,italo_romance,Ligurian
ita,lmo,0.014956,0.985044,italo_romance,Lombard
ita,fra,0.022064,0.977936,romance,French
ita,sc,0.028279,0.971721,italo_romance,Sardinian
ita,fur,0.028894,0.971106,italo_romance,Friulian
ita,scn,0.043912,0.956088,italo_romance,Sicilian
ita,eng,0.060516,0.939484,english,English
ita,slv,0.078979,0.921021,slavic,Slovenian
ita,deu,0.107983,0.892017,germanic,German
lij,ita,0.011795,0.988205,italian,Italian
lij,vec,0.015934,0.984066,italo_romance,Venetian
lij,spa,0.022102,0.977898,romance,Spanish
lij,lmo,0.028382,0.971618,italo_romance,Lombard
lij,cat,0.028481,0.971519,romance,Catalan
lij,sc,0.041880,0.958120,italo_romance,Sardinian
lij,fra,0.043624,0.956376,romance,French
lij,fur,0.055835,0.944165,italo_romance,Friulian
lij,scn,0.061229,0.938771,italo_romance,Sicilian
lij,eng,0.084122,0.915878,english,English
lij,slv,0.103583,0.896417,slavic,Slovenian
lij,deu,0.133614,0.866386,germanic,German
lmo,cat,0.005403,0.994597,romance,Catalan
lmo,ita,0.014956,0.985044,italian,Italian
lmo,spa,0.015343,0.984657,romance,Spanish
lmo,vec,0.018886,0.981114,italo_romance,Venetian
lmo,fra,0.019347,0.980653,romance,French
lmo,fur,0.023069,0.976931,italo_romance,Friulian
lmo,sc,0.028075,0.971925,italo_romance,Sardinian
lmo,lij,0.028382,0.971618,italo_romance,Ligurian
lmo,scn,0.046521,0.953479,italo_romance,Sicilian
lmo,eng,0.058285,0.941715,english,English
lmo,slv,0.076983,0.923017,slavic,Slovenian
lmo,deu,0.091783,0.908217,germanic,German
sc,spa,0.020331,0.979669,romance,Spanish
sc,cat,0.024878,0.975122,romance,Catalan
sc,lmo,0.028075,0.971925,italo_romance,Lombard
sc,ita,0.028279,0.971721,italian,Italian
sc,fra,0.030548,0.969452,romance,French
