dialect,reference,ref_family,mean_similarity
fur,fra,romance,0.962944
fur,cat,romance,0.961835
fur,ita,italian,0.952563
fur,spa,romance,0.952370
fur,eng,english,0.915216
fur,slv,slavic,0.905358
fur,deu,germanic,0.882552
lij,ita,italian,0.970533
lij,spa,romance,0.955829
lij,cat,romance,0.951283
lij,fra,romance,0.936239
lij,eng,english,0.892155
lij,slv,slavic,0.870771
lij,deu,germanic,0.844451
lmo,cat,romance,0.974331
lmo,ita,italian,0.966316
lmo,spa,romance,0.962283
lmo,fra,romance,0.959780
lmo,eng,english,0.917368
lmo,slv,slavic,0.896692
lmo,deu,germanic,0.885230
sc,spa,romance,0.960016
sc,cat,romance,0.955774
sc,ita,italian,0.952357
sc,fra,romance,0.950753
sc,eng,english,0.912423
sc,slv,slavic,0.879505
sc,deu,germanic,0.873023
scn,ita,italian,0.938268
scn,cat,romance,0.923860
scn,spa,romance,0.914770
scn,fra,romance,0.908810
scn,eng,english,0.868658
scn,slv,slavic,0.852463
scn,deu,germanic,0.825328
vec,ita,italian,0.976409
vec,spa,romance,0.971545
vec,cat,romance,0.966088
vec,fra,romance,0.954140
vec,eng,english,0.913477
vec,slv,slavic,0.902551
vec,deu,germanic,0.869208
