# Global clustering metrics
metric,value,clusterer
silhouette_global,-0.122495,family_labels
davies_bouldin,1.294222,family_labels
calinski_harabasz,1.116379,family_labels
cophenetic_correlation,0.724531,hierarchical
adjusted_rand_index,0.000000,hierarchical_cut
normalized_mutual_info,0.546745,hierarchical_cut
v_measure,0.546745,hierarchical_cut
adjusted_rand_index,-0.111842,kmeans
normalized_mutual_info,0.461778,kmeans
v_measure,0.461778,kmeans

# Per-variety silhouette scores
variety,family,silhouette
cat,romance,0.441158
fra,romance,0.399919
spa,romance,0.038476
ita,italian,0.000000
slv,slavic,0.000000
eng,english,0.000000
deu,germanic,0.000000
fur,italo_romance,-0.211868
lmo,italo_romance,-0.329714
sc,italo_romance,-0.346759
scn,italo_romance,-0.390580
lij,italo_romance,-0.557450
vec,italo_romance,-0.635620
