code,nn_1,dist_1,nn_2,dist_2,nn_3,dist_3
fur,fra,0.6962531805038452,cat,0.8552983403205872,lmo,0.884760856628418
lij,ita,0.5288126468658447,vec,0.5368547439575195,deu,0.8719829320907593
lmo,cat,0.47399038076400757,deu,0.7352903485298157,fur,0.884760856628418
sc,deu,0.7710952758789062,eng,0.8857548236846924,scn,0.9005412459373474
scn,deu,0.7248793244361877,slv,0.8060573935508728,sc,0.9005412459373474
vec,spa,0.4120866060256958,ita,0.4391127824783325,lij,0.5368547439575195
ita,vec,0.4391127824783325,lij,0.5288126468658447,spa,0.7457436323165894
spa,vec,0.4120866060256958,cat,0.6789964437484741,ita,0.7457436323165894
fra,cat,0.46403414011001587,fur,0.6962531805038452,spa,0.7551041841506958
cat,fra,0.46403414011001587,lmo,0.47399038076400757,spa,0.6789964437484741
deu,scn,0.7248793244361877,lmo,0.7352903485298157,sc,0.7710952758789062
slv,vec,0.7508633136749268,scn,0.8060573935508728,ita,0.8482887744903564
eng,ita,0.8685781955718994,sc,0.8857548236846924,lij,0.9068628549575806
