source,target,distance,similarity,target_family,target_display
cat,lmo,0.005756,0.994244,italo_romance,Lombard
cat,spa,0.006072,0.993928,romance,Spanish
cat,fra,0.007785,0.992215,romance,French
cat,ita,0.009549,0.990451,italian,Italian
cat,vec,0.012365,0.987635,italo_romance,Venetian
cat,fur,0.017555,0.982445,italo_romance,Friulian
cat,sc,0.023339,0.976661,italo_romance,Sardinian
cat,lij,0.025441,0.974559,italo_romance,Ligurian
cat,eng,0.033831,0.966169,english,English
cat,scn,0.053310,0.946690,italo_romance,Sicilian
cat,slv,0.058766,0.941234,slavic,Slovenian
cat,deu,0.071979,0.928021,germanic,German
deu,eng,0.026791,0.973209,english,English
deu,slv,0.037031,0.962969,slavic,Slovenian
deu,fra,0.054728,0.945272,romance,French
deu,cat,0.071979,0.928021,romance,Catalan
deu,lmo,0.080563,0.919437,italo_romance,Lombard
deu,spa,0.081891,0.918109,romance,Spanish
deu,fur,0.084730,0.915270,italo_romance,Friulian
deu,ita,0.094169,0.905831,italian,Italian
deu,sc,0.094890,0.905110,italo_romance,Sardinian
deu,vec,0.097428,0.902572,italo_romance,Venetian
deu,lij,0.120307,0.879693,italo_romance,Ligurian
deu,scn,0.137914,0.862086,italo_romance,Sicilian
eng,fra,0.026715,0.973285,romance,French
eng,deu,0.026791,0.973209,germanic,German
eng,cat,0.033831,0.966169,romance,Catalan
eng,slv,0.036886,0.963114,slavic,Slovenian
eng,spa,0.037241,0.962759,romance,Spanish
eng,ita,0.044052,0.955948,italian,Italian
eng,lmo,0.044814,0.955186,italo_romance,Lombard
eng,fur,0.046463,0.953537,italo_romance,Friulian
eng,vec,0.049099,0.950901,italo_romance,Venetian
eng,sc,0.051523,0.948477,italo_romance,Sardinian
eng,lij,0.066425,0.933575,italo_romance,Ligurian
eng,scn,0.089533,0.910467,italo_romance,Sicilian
fra,cat,0.007785,0.992215,romance,Catalan
fra,spa,0.012990,0.987010,romance,Spanish
fra,lmo,0.017367,0.982633,italo_romance,Lombard
fra,fur,0.018205,0.981795,italo_romance,Friulian
fra,ita,0.020151,0.979849,italian,Italian
fra,vec,0.024270,0.975730,italo_romance,Venetian
fra,eng,0.026715,0.973285,english,English
fra,sc,0.028817,0.971183,italo_romance,Sardinian
fra,lij,0.041061,0.958939,italo_romance,Ligurian
fra,slv,0.054576,0.945424,slavic,Slovenian
fra,deu,0.054728,0.945272,germanic,German
fra,scn,0.068423,0.931577,italo_romance,Sicilian
fur,cat,0.017555,0.982445,romance,Catalan
fur,fra,0.018205,0.981795,romance,French
fur,lmo,0.021422,0.978578,italo_romance,Lombard
fur,spa,0.024796,0.975204,romance,Spanish
fur,ita,0.026253,0.973747,italian,Italian
fur,vec,0.032737,0.967263,italo_romance,Venetian
fur,sc,0.038142,0.961858,italo_romance,Sardinian
fur,eng,0.046463,0.953537,english,English
fur,lij,0.051949,0.948051,italo_romance,Ligurian
fur,scn,0.054564,0.945436,italo_romance,Sicilian
fur,slv,0.062376,0.937624,slavic,Slovenian
fur,deu,0.084730,0.915270,germanic,German
ita,vec,0.006286,0.993714,italo_romance,Venetian
ita,spa,0.007118,0.992882,romance,Spanish
ita,cat,0.009549,0.990451,romance,Catalan
ita,lij,0.011248,0.988752,italo_romance,Ligurian
ita,lmo,0.014114,0.985886,italo_romance,Lombard
ita,fra,0.020151,0.979849,romance,French
ita,fur,0.026253,0.973747,italo_romance,Friulian
ita,sc,0.026255,0.973745,italo_romance,Sardinian
ita,scn,0.042786,0.957214,italo_romance,Sicilian
ita,eng,0.044052,0.955948,english,English
ita,slv,0.069933,0.930067,slavic,Slovenian
ita,deu,0.094169,0.905831,germanic,German
lij,ita,0.011248,0.988752,italian,Italian
lij,vec,0.013914,0.986086,italo_romance,Venetian
lij,spa,0.020085,0.979915,romance,Spanish
lij,cat,0.025441,0.974559,romance,Catalan
lij,lmo,0.027425,0.972575,italo_romance,Lombard
lij,sc,0.039546,0.960454,italo_romance,Sardinian
lij,fra,0.041061,0.958939,romance,French
lij,fur,0.051949,0.948051,italo_romance,Friulian
lij,scn,0.058609,0.941391,italo_romance,Sicilian
lij,eng,0.066425,0.933575,english,English
lij,slv,0.095077,0.904923,slavic,Slovenian
lij,deu,0.120307,0.879693,germanic,German
lmo,cat,0.005756,0.994244,romance,Catalan
lmo,ita,0.014114,0.985886,italian,Italian
lmo,spa,0.014604,0.985396,romance,Spanish
lmo,fra,0.017367,0.982633,romance,French
lmo,vec,0.018825,0.981175,italo_romance,Venetian
lmo,fur,0.021422,0.978578,italo_romance,Friulian
lmo,sc,0.024931,0.975069,italo_romance,Sardinian
lmo,lij,0.027425,0.972575,italo_romance,Ligurian
lmo,eng,0.044814,0.955186,english,English
lmo,scn,0.045114,0.954886,italo_romance,Sicilian
lmo,slv,0.071827,0.928173,slavic,Slovenian
lmo,deu,0.080563,0.919437,germanic,German
sc,spa,0.019313,0.980687,romance,Spanish
sc,cat,0.023339,0.976661,romance,Catalan
sc,lmo,0.024931,0.975069,italo_romance,Lombard
sc,ita,0.026255,0.973745,italian,Italian
sc,fra,0.028817,0.971183,romance,French
sc,vec,0.033670,0.966330,italo_romance,Venetian
sc,fur,0.038142,0.961858,italo_romance,Friulian
sc,lij,0.039546,0.960454,italo_romance,Ligurian
sc,scn,0.045216,0.954784,italo_romance,Sicilian
sc,eng,0.051523,0.948477,english,English
sc,slv,0.087509,0.912491,slavic,Slovenian
sc,deu,0.094890,0.905110,germanic,German
scn,ita,0.042786,0.957214,italian,Italian
scn,lmo,0.045114,0.954886,italo_romance,Lombard
scn,sc,0.045216,0.954784,italo_romance,Sardinian
scn,cat,0.053310,0.946690,romance,Catalan
scn,fur,0.054564,0.945436,italo_romance,Friulian
scn,lij,0.058609,0.941391,italo_romance,Ligurian
scn,spa,0.060248,0.939752,romance,Spanish
scn,vec,0.065832,0.934168,italo_romance,Venetian
scn,fra,0.068423,0.931577,romance,French
scn,eng,0.089533,0.910467,english,English
scn,slv,0.112114,0.887886,slavic,Slovenian
scn,deu,0.137914,0.862086,germanic,German
slv,eng,0.036886,0.963114,english,English
slv,deu,0.037031,0.962969,germanic,German
slv,fra,0.054576,0.945424,romance,French
slv,cat,0.058766,0.941234,romance,Catalan
slv,spa,0.060726,0.939274,romance,Spanish
slv,fur,0.062376,0.937624,italo_romance,Friulian
slv,vec,0.067056,0.932944,italo_romance,Venetian
slv,ita,0.069933,0.930067,italian,Italian
slv,lmo,0.071827,0.928173,italo_romance,Lombard
slv,sc,0.087509,0.912491,italo_romance,Sardinian
