,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,1.000000,0.928978,0.960335,0.942205,0.926777,0.950068,0.956352,0.955754,0.963743,0.963969,0.891553,0.911081,0.931275
lij,0.928978,1.000000,0.954613,0.940024,0.923577,0.970576,0.973270,0.959995,0.939675,0.955669,0.856609,0.878407,0.910901
lmo,0.960335,0.954613,1.000000,0.954690,0.936507,0.964716,0.969744,0.965163,0.962627,0.975667,0.894806,0.900414,0.931742
sc,0.942205,0.940024,0.954690,1.000000,0.935715,0.947029,0.954986,0.961776,0.952250,0.957295,0.881903,0.886279,0.925884
scn,0.926777,0.923577,0.936507,0.935715,1.000000,0.917837,0.942104,0.919887,0.912544,0.927551,0.838827,0.861422,0.888187
vec,0.950068,0.970576,0.964716,0.947029,0.917837,1.000000,0.981017,0.975197,0.957103,0.970027,0.879333,0.906649,0.928999
ita,0.956352,0.973270,0.969744,0.954986,0.942104,0.981017,1.000000,0.975229,0.961912,0.973550,0.881814,0.902854,0.933507
spa,0.955754,0.959995,0.965163,0.961776,0.919887,0.975197,0.975229,1.000000,0.970289,0.981207,0.893692,0.911996,0.941111
fra,0.963743,0.939675,0.962627,0.952250,0.912544,0.957103,0.961912,0.970289,1.000000,0.976575,0.923156,0.919639,0.953599
cat,0.963969,0.955669,0.975667,0.957295,0.927551,0.970027,0.973550,0.981207,0.976575,1.000000,0.904502,0.914459,0.945456
deu,0.891553,0.856609,0.894806,0.881903,0.838827,0.879333,0.881814,0.893692,0.923156,0.904502,1.000000,0.939753,0.951588
slv,0.911081,0.878407,0.900414,0.886279,0.861422,0.906649,0.902854,0.911996,0.919639,0.914459,0.939753,1.000000,0.936241
eng,0.931275,0.910901,0.931742,0.925884,0.888187,0.928999,0.933507,0.941111,0.953599,0.945456,0.951588,0.936241,1.000000
