dialect,reference,ref_family,mean_similarity
fur,cat,romance,0.963969
fur,fra,romance,0.963743
fur,ita,italian,0.956352
fur,spa,romance,0.955754
fur,eng,english,0.931275
fur,slv,slavic,0.911081
fur,deu,germanic,0.891553
lij,ita,italian,0.973270
lij,spa,romance,0.959995
lij,cat,romance,0.955669
lij,fra,romance,0.939675
lij,eng,english,0.910901
lij,slv,slavic,0.878407
lij,deu,germanic,0.856609
lmo,cat,romance,0.975667
lmo,ita,italian,0.969744
lmo,spa,romance,0.965163
lmo,fra,romance,0.962627
lmo,eng,english,0.931742
lmo,slv,slavic,0.900414
lmo,deu,germanic,0.894806
sc,spa,romance,0.961776
sc,cat,romance,0.957295
sc,ita,italian,0.954986
sc,fra,romance,0.952250
sc,eng,english,0.925884
sc,slv,slavic,0.886279
sc,deu,germanic,0.881903
scn,ita,italian,0.942104
scn,cat,romance,0.927551
scn,spa,romance,0.919887
scn,fra,romance,0.912544
scn,eng,english,0.888187
scn,slv,slavic,0.861422
scn,deu,germanic,0.838827
vec,ita,italian,0.981017
vec,spa,romance,0.975197
vec,cat,romance,0.970027
vec,fra,romance,0.957103
vec,eng,english,0.928999
vec,slv,slavic,0.906649
vec,deu,germanic,0.879333
