,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,1.000000,0.941776,0.979046,0.956670,0.941530,0.962588,0.970868,0.971613,0.985341,0.983699,0.909733,0.933578,0.934095
lij,0.941776,1.000000,0.971355,0.957520,0.933751,0.982352,0.985864,0.975134,0.953127,0.966929,0.872913,0.911223,0.904701
lmo,0.979046,0.971355,1.000000,0.969800,0.948669,0.979064,0.984509,0.983807,0.982135,0.994466,0.910974,0.933097,0.934039
sc,0.956670,0.957520,0.969800,1.000000,0.949736,0.964395,0.971942,0.979155,0.968299,0.973711,0.893797,0.911198,0.924890
scn,0.941530,0.933751,0.948669,0.949736,1.000000,0.927803,0.950591,0.931191,0.928276,0.938441,0.856131,0.890016,0.881911
vec,0.962588,0.982352,0.979064,0.964395,0.927803,1.000000,0.993917,0.992729,0.970916,0.981475,0.887962,0.933153,0.920791
ita,0.970868,0.985864,0.984509,0.971942,0.950591,0.993917,1.000000,0.991954,0.977094,0.985805,0.895465,0.932353,0.927974
spa,0.971613,0.975134,0.983807,0.979155,0.931191,0.992729,0.991954,1.000000,0.985163,0.991070,0.909586,0.940472,0.939259
fra,0.985341,0.953127,0.982135,0.968299,0.928276,0.970916,0.977094,0.985163,1.000000,0.993236,0.938622,0.942189,0.956267
cat,0.983699,0.966929,0.994466,0.973711,0.938441,0.981475,0.985805,0.991070,0.993236,1.000000,0.923134,0.939818,0.947730
deu,0.909733,0.872913,0.910974,0.893797,0.856131,0.887962,0.895465,0.909586,0.938622,0.923134,1.000000,0.952267,0.977307
slv,0.933578,0.911223,0.933097,0.911198,0.890016,0.933153,0.932353,0.940472,0.942189,0.939818,0.952267,1.000000,0.953120
eng,0.934095,0.904701,0.934039,0.924890,0.881911,0.920791,0.927974,0.939259,0.956267,0.947730,0.977307,0.953120,1.000000
