# Global clustering metrics
metric,value,clusterer
silhouette_global,-0.123533,family_labels
davies_bouldin,0.976961,family_labels
calinski_harabasz,1.696752,family_labels
cophenetic_correlation,0.752265,hierarchical
adjusted_rand_index,0.320000,hierarchical_cut
normalized_mutual_info,0.736912,hierarchical_cut
v_measure,0.736912,hierarchical_cut
adjusted_rand_index,0.289389,kmeans
normalized_mutual_info,0.737975,kmeans
v_measure,0.737975,kmeans

# Per-variety silhouette scores
variety,family,silhouette
cat,romance,0.011617
ita,italian,0.000000
deu,germanic,0.000000
slv,slavic,0.000000
eng,english,0.000000
fur,italo_romance,-0.044314
spa,romance,-0.049973
fra,romance,-0.087871
scn,italo_romance,-0.153633
lij,italo_romance,-0.202264
sc,italo_romance,-0.307543
lmo,italo_romance,-0.309288
vec,italo_romance,-0.462654
