,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,0.000000,0.122389,0.146588,0.169476,0.167620,0.169339,0.148210,0.231245,0.157119,0.187417,0.255596,0.218143,0.205774
lij,0.122389,0.000000,0.129591,0.162961,0.178039,0.126019,0.114714,0.218602,0.168502,0.183968,0.265499,0.251468,0.199569
lmo,0.146588,0.129591,0.000000,0.108320,0.120802,0.102787,0.084003,0.175740,0.164135,0.119479,0.194127,0.219532,0.173177
sc,0.169476,0.162961,0.108320,0.000000,0.111335,0.120365,0.093129,0.170632,0.177223,0.140608,0.203058,0.237003,0.151414
scn,0.167620,0.178039,0.120802,0.111335,0.000000,0.175957,0.127590,0.262738,0.221946,0.198691,0.293314,0.274025,0.250131
vec,0.169339,0.126019,0.102787,0.120365,0.175957,0.000000,0.074634,0.163601,0.191603,0.166381,0.254501,0.214131,0.169169
ita,0.148210,0.114714,0.084003,0.093129,0.127590,0.074634,0.000000,0.109885,0.122585,0.099959,0.167596,0.164549,0.087105
spa,0.231245,0.218602,0.175740,0.170632,0.262738,0.163601,0.109885,0.000000,0.137326,0.088868,0.191867,0.197420,0.107445
fra,0.157119,0.168502,0.164135,0.177223,0.221946,0.191603,0.122585,0.137326,0.000000,0.108726,0.195370,0.256415,0.112216
cat,0.187417,0.183968,0.119479,0.140608,0.198691,0.166381,0.099959,0.088868,0.108726,0.000000,0.206371,0.240309,0.119074
deu,0.255596,0.265499,0.194127,0.203058,0.293314,0.254501,0.167596,0.191867,0.195370,0.206371,0.000000,0.210282,0.120943
slv,0.218143,0.251468,0.219532,0.237003,0.274025,0.214131,0.164549,0.197420,0.256415,0.240309,0.210282,0.000000,0.202811
eng,0.205774,0.199569,0.173177,0.151414,0.250131,0.169169,0.087105,0.107445,0.112216,0.119074,0.120943,0.202811,0.000000
