source,target,distance,similarity,target_family,target_display
cat,spa,0.088868,0.911132,romance,Spanish
cat,ita,0.099959,0.900041,italian,Italian
cat,fra,0.108726,0.891274,romance,French
cat,eng,0.119074,0.880926,english,English
cat,lmo,0.119479,0.880521,italo_romance,Lombard
cat,sc,0.140608,0.859392,italo_romance,Sardinian
cat,vec,0.166381,0.833619,italo_romance,Venetian
cat,lij,0.183968,0.816032,italo_romance,Ligurian
cat,fur,0.187417,0.812583,italo_romance,Friulian
cat,scn,0.198691,0.801309,italo_romance,Sicilian
cat,deu,0.206371,0.793629,germanic,German
cat,slv,0.240309,0.759691,slavic,Slovenian
deu,eng,0.120943,0.879057,english,English
deu,ita,0.167596,0.832404,italian,Italian
deu,spa,0.191867,0.808133,romance,Spanish
deu,lmo,0.194127,0.805873,italo_romance,Lombard
deu,fra,0.195370,0.804630,romance,French
deu,sc,0.203058,0.796942,italo_romance,Sardinian
deu,cat,0.206371,0.793629,romance,Catalan
deu,slv,0.210282,0.789718,slavic,Slovenian
deu,vec,0.254501,0.745499,italo_romance,Venetian
deu,fur,0.255596,0.744404,italo_romance,Friulian
deu,lij,0.265499,0.734501,italo_romance,Ligurian
deu,scn,0.293314,0.706686,italo_romance,Sicilian
eng,ita,0.087105,0.912895,italian,Italian
eng,spa,0.107445,0.892555,romance,Spanish
eng,fra,0.112216,0.887784,romance,French
eng,cat,0.119074,0.880926,romance,Catalan
eng,deu,0.120943,0.879057,germanic,German
eng,sc,0.151414,0.848586,italo_romance,Sardinian
eng,vec,0.169169,0.830831,italo_romance,Venetian
eng,lmo,0.173177,0.826823,italo_romance,Lombard
eng,lij,0.199569,0.800431,italo_romance,Ligurian
eng,slv,0.202811,0.797189,slavic,Slovenian
eng,fur,0.205774,0.794226,italo_romance,Friulian
eng,scn,0.250131,0.749869,italo_romance,Sicilian
fra,cat,0.108726,0.891274,romance,Catalan
fra,eng,0.112216,0.887784,english,English
fra,ita,0.122585,0.877415,italian,Italian
fra,spa,0.137326,0.862674,romance,Spanish
fra,fur,0.157119,0.842881,italo_romance,Friulian
fra,lmo,0.164135,0.835865,italo_romance,Lombard
fra,lij,0.168502,0.831498,italo_romance,Ligurian
fra,sc,0.177223,0.822777,italo_romance,Sardinian
fra,vec,0.191603,0.808397,italo_romance,Venetian
fra,deu,0.195370,0.804630,germanic,German
fra,scn,0.221946,0.778054,italo_romance,Sicilian
fra,slv,0.256415,0.743585,slavic,Slovenian
fur,lij,0.122389,0.877611,italo_romance,Ligurian
fur,lmo,0.146588,0.853412,italo_romance,Lombard
fur,ita,0.148210,0.851790,italian,Italian
fur,fra,0.157119,0.842881,romance,French
fur,scn,0.167620,0.832380,italo_romance,Sicilian
fur,vec,0.169339,0.830661,italo_romance,Venetian
fur,sc,0.169476,0.830524,italo_romance,Sardinian
fur,cat,0.187417,0.812583,romance,Catalan
fur,eng,0.205774,0.794226,english,English
fur,slv,0.218143,0.781857,slavic,Slovenian
fur,spa,0.231245,0.768755,romance,Spanish
fur,deu,0.255596,0.744404,germanic,German
ita,vec,0.074634,0.925366,italo_romance,Venetian
ita,lmo,0.084003,0.915997,italo_romance,Lombard
ita,eng,0.087105,0.912895,english,English
ita,sc,0.093129,0.906871,italo_romance,Sardinian
ita,cat,0.099959,0.900041,romance,Catalan
ita,spa,0.109885,0.890115,romance,Spanish
ita,lij,0.114714,0.885286,italo_romance,Ligurian
ita,fra,0.122585,0.877415,romance,French
ita,scn,0.127590,0.872410,italo_romance,Sicilian
ita,fur,0.148210,0.851790,italo_romance,Friulian
ita,slv,0.164549,0.835451,slavic,Slovenian
ita,deu,0.167596,0.832404,germanic,German
lij,ita,0.114714,0.885286,italian,Italian
lij,fur,0.122389,0.877611,italo_romance,Friulian
lij,vec,0.126019,0.873981,italo_romance,Venetian
lij,lmo,0.129591,0.870409,italo_romance,Lombard
lij,sc,0.162961,0.837039,italo_romance,Sardinian
lij,fra,0.168502,0.831498,romance,French
lij,scn,0.178039,0.821961,italo_romance,Sicilian
lij,cat,0.183968,0.816032,romance,Catalan
lij,eng,0.199569,0.800431,english,English
lij,spa,0.218602,0.781398,romance,Spanish
lij,slv,0.251468,0.748532,slavic,Slovenian
lij,deu,0.265499,0.734501,germanic,German
lmo,ita,0.084003,0.915997,italian,Italian
lmo,vec,0.102787,0.897213,italo_romance,Venetian
lmo,sc,0.108320,0.891680,italo_romance,Sardinian
lmo,cat,0.119479,0.880521,romance,Catalan
lmo,scn,0.120802,0.879198,italo_romance,Sicilian
lmo,lij,0.129591,0.870409,italo_romance,Ligurian
lmo,fur,0.146588,0.853412,italo_romance,Friulian
lmo,fra,0.164135,0.835865,romance,French
lmo,eng,0.173177,0.826823,english,English
lmo,spa,0.175740,0.824260,romance,Spanish
lmo,deu,0.194127,0.805873,germanic,German
lmo,slv,0.219532,0.780468,slavic,Slovenian
sc,ita,0.093129,0.906871,italian,Italian
sc,lmo,0.108320,0.891680,italo_romance,Lombard
sc,scn,0.111335,0.888665,italo_romance,Sicilian
sc,vec,0.120365,0.879635,italo_romance,Venetian
sc,cat,0.140608,0.859392,romance,Catalan
sc,eng,0.151414,0.848586,english,English
sc,lij,0.162961,0.837039,italo_romance,Ligurian
sc,fur,0.169476,0.830524,italo_romance,Friulian
sc,spa,0.170632,0.829368,romance,Spanish
sc,fra,0.177223,0.822777,romance,French
sc,deu,0.203058,0.796942,germanic,German
sc,slv,0.237003,0.762997,slavic,Slovenian
scn,sc,0.111335,0.888665,italo_romance,Sardinian
scn,lmo,0.120802,0.879198,italo_romance,Lombard
scn,ita,0.127590,0.872410,italian,Italian
scn,fur,0.167620,0.832380,italo_romance,Friulian
scn,vec,0.175957,0.824043,italo_romance,Venetian
scn,lij,0.178039,0.821961,italo_romance,Ligurian
scn,cat,0.198691,0.801309,romance,Catalan
scn,fra,0.221946,0.778054,romance,French
scn,eng,0.250131,0.749869,english,English
scn,spa,0.262738,0.737262,romance,Spanish
scn,slv,0.274025,0.725975,slavic,Slovenian
scn,deu,0.293314,0.706686,germanic,German
slv,ita,0.164549,0.835451,italian,Italian
slv,spa,0.197420,0.802580,romance,Spanish
slv,eng,0.202811,0.797189,english,English
slv,deu,0.210282,0.789718,germanic,German
