,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,1.000000,0.877611,0.853412,0.830524,0.832380,0.830661,0.851790,0.768755,0.842881,0.812583,0.744404,0.781857,0.794226
lij,0.877611,1.000000,0.870409,0.837039,0.821961,0.873981,0.885286,0.781398,0.831498,0.816032,0.734501,0.748532,0.800431
lmo,0.853412,0.870409,1.000000,0.891680,0.879198,0.897213,0.915997,0.824260,0.835865,0.880521,0.805873,0.780468,0.826823
sc,0.830524,0.837039,0.891680,1.000000,0.888665,0.879635,0.906871,0.829368,0.822777,0.859392,0.796942,0.762997,0.848586
scn,0.832380,0.821961,0.879198,0.888665,1.000000,0.824043,0.872410,0.737262,0.778054,0.801309,0.706686,0.725975,0.749869
vec,0.830661,0.873981,0.897213,0.879635,0.824043,1.000000,0.925366,0.836399,0.808397,0.833619,0.745499,0.785869,0.830831
ita,0.851790,0.885286,0.915997,0.906871,0.872410,0.925366,1.000000,0.890115,0.877415,0.900041,0.832404,0.835451,0.912895
spa,0.768755,0.781398,0.824260,0.829368,0.737262,0.836399,0.890115,1.000000,0.862674,0.911132,0.808133,0.802580,0.892555
fra,0.842881,0.831498,0.835865,0.822777,0.778054,0.808397,0.877415,0.862674,1.000000,0.891274,0.804630,0.743585,0.887784
cat,0.812583,0.816032,0.880521,0.859392,0.801309,0.833619,0.900041,0.911132,0.891274,1.000000,0.793629,0.759691,0.880926
deu,0.744404,0.734501,0.805873,0.796942,0.706686,0.745499,0.832404,0.808133,0.804630,0.793629,1.000000,0.789718,0.879057
slv,0.781857,0.748532,0.780468,0.762997,0.725975,0.785869,0.835451,0.802580,0.743585,0.759691,0.789718,1.000000,0.797189
eng,0.794226,0.800431,0.826823,0.848586,0.749869,0.830831,0.912895,0.892555,0.887784,0.880926,0.879057,0.797189,1.000000
