,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,0.000000,0.919415,1.266776,1.320457,1.278998,1.288394,1.380869,1.159602,0.808367,1.130946,0.938759,0.854279,1.031082
lij,0.919415,0.000000,1.208796,1.359522,1.515849,1.023793,1.067761,1.036914,0.889638,1.126931,0.973594,1.039873,0.935170
lmo,1.266776,1.208796,0.000000,1.082461,1.085968,0.991708,1.045587,1.076501,1.161098,0.872409,0.787176,1.103689,1.184136
sc,1.320457,1.359522,1.082461,0.000000,0.845079,1.045452,1.046973,0.993890,1.201735,1.016370,0.872451,1.171538,0.891605
scn,1.278998,1.515849,1.085968,0.845079,0.000000,1.427756,1.002559,1.029471,1.063135,1.000678,0.764148,0.955749,0.973877
vec,1.288394,1.023793,0.991708,1.045452,1.427756,0.000000,0.745503,0.829886,1.240924,1.163002,1.178635,0.971755,0.964579
ita,1.380869,1.067761,1.045587,1.046973,1.002559,0.745503,0.000000,0.978769,1.185158,1.071452,1.182156,1.051846,0.801159
spa,1.159602,1.036914,1.076501,0.993890,1.029471,0.829886,0.978769,0.000000,1.058925,0.707169,1.568792,1.171114,1.240687
fra,0.808367,0.889638,1.161098,1.201735,1.063135,1.240924,1.185158,1.058925,0.000000,0.833739,1.243372,1.379788,0.955745
cat,1.130946,1.126931,0.872409,1.016370,1.000678,1.163002,1.071452,0.707169,0.833739,0.000000,1.411659,1.375316,1.121559
deu,0.938759,0.973594,0.787176,0.872451,0.764148,1.178635,1.182156,1.568792,1.243372,1.411659,0.000000,1.064891,1.138105
slv,0.854279,1.039873,1.103689,1.171538,0.955749,0.971755,1.051846,1.171114,1.379788,1.375316,1.064891,0.000000,1.358413
eng,1.031082,0.935170,1.184136,0.891605,0.973877,0.964579,0.801159,1.240687,0.955745,1.121559,1.138105,1.358413,0.000000
