code,nn_1,dist_1,nn_2,dist_2,nn_3,dist_3
fur,fra,0.8083670139312744,slv,0.8542785048484802,lij,0.9194153547286987
lij,fra,0.8896380662918091,fur,0.9194153547286987,eng,0.9351699948310852
lmo,deu,0.7871758937835693,cat,0.8724092245101929,vec,0.9917081594467163
sc,scn,0.8450793027877808,deu,0.8724514245986938,eng,0.8916047811508179
scn,deu,0.7641483545303345,sc,0.8450793027877808,slv,0.9557486176490784
vec,ita,0.7455034255981445,spa,0.829885721206665,eng,0.9645794630050659
ita,vec,0.7455034255981445,eng,0.8011589050292969,spa,0.9787685871124268
spa,cat,0.7071689367294312,vec,0.829885721206665,ita,0.9787685871124268
fra,fur,0.8083670139312744,cat,0.8337385058403015,lij,0.8896380662918091
cat,spa,0.7071689367294312,fra,0.8337385058403015,lmo,0.8724092245101929
deu,scn,0.7641483545303345,lmo,0.7871758937835693,sc,0.8724514245986938
slv,fur,0.8542785048484802,scn,0.9557486176490784,vec,0.9717547297477722
eng,ita,0.8011589050292969,sc,0.8916047811508179,lij,0.9351699948310852
