,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,1.000000,0.080585,-0.266776,-0.320457,-0.278998,-0.288394,-0.380869,-0.159602,0.191633,-0.130946,0.061241,0.145721,-0.031082
lij,0.080585,1.000000,-0.208796,-0.359522,-0.515849,-0.023793,-0.067761,-0.036914,0.110362,-0.126931,0.026406,-0.039873,0.064830
lmo,-0.266776,-0.208796,1.000000,-0.082461,-0.085968,0.008292,-0.045587,-0.076501,-0.161098,0.127591,0.212824,-0.103689,-0.184136
sc,-0.320457,-0.359522,-0.082461,1.000000,0.154921,-0.045452,-0.046973,0.006110,-0.201735,-0.016370,0.127549,-0.171538,0.108395
scn,-0.278998,-0.515849,-0.085968,0.154921,1.000000,-0.427756,-0.002559,-0.029471,-0.063135,-0.000678,0.235852,0.044251,0.026123
vec,-0.288394,-0.023793,0.008292,-0.045452,-0.427756,1.000000,0.254497,0.170114,-0.240924,-0.163002,-0.178635,0.028245,0.035421
ita,-0.380869,-0.067761,-0.045587,-0.046973,-0.002559,0.254497,1.000000,0.021231,-0.185158,-0.071452,-0.182156,-0.051846,0.198841
spa,-0.159602,-0.036914,-0.076501,0.006110,-0.029471,0.170114,0.021231,1.000000,-0.058925,0.292831,-0.568792,-0.171114,-0.240687
fra,0.191633,0.110362,-0.161098,-0.201735,-0.063135,-0.240924,-0.185158,-0.058925,1.000000,0.166261,-0.243372,-0.379788,0.044255
cat,-0.130946,-0.126931,0.127591,-0.016370,-0.000678,-0.163002,-0.071452,0.292831,0.166261,1.000000,-0.411659,-0.375316,-0.121559
deu,0.061241,0.026406,0.212824,0.127549,0.235852,-0.178635,-0.182156,-0.568792,-0.243372,-0.411659,1.000000,-0.064891,-0.138105
slv,0.145721,-0.039873,-0.103689,-0.171538,0.044251,0.028245,-0.051846,-0.171114,-0.379788,-0.375316,-0.064891,1.000000,-0.358413
eng,-0.031082,0.064830,-0.184136,0.108395,0.026123,0.035421,0.198841,-0.240687,0.044255,-0.121559,-0.138105,-0.358413,1.000000
