Silhouette report (CANINE adapted (OLDI centroid))
============================================================
  n_varieties           = 13
  linkage_method        = average
  silhouette (family)   = -0.2008
  silhouette (romance)  = +0.5750

Notes:
  Silhouette range [-1, 1].  >0.5 excellent, >0.2 good, ~0 no structure.

Per-variety silhouette scores (sorted descending):
  variety               family            silhouette
  ----------------------------------------------------
  fra                   romance              +0.4920
  cat                   romance              +0.3890
  eng                   english              +0.0000
  deu                   germanic             +0.0000
  slv                   slavic               +0.0000
  ita                   italian              +0.0000
  scn                   italo_romance        -0.1647
  sc                    italo_romance        -0.3394
  spa                   romance              -0.3698
  fur                   italo_romance        -0.5399
  lmo                   italo_romance        -0.5649
  lij                   italo_romance        -0.6658
  vec                   italo_romance        -0.8463
