source,target,distance,similarity,target_family,target_display
cat,spa,0.082580,0.917420,romance,Spanish
cat,ita,0.093843,0.906157,italian,Italian
cat,lmo,0.094278,0.905722,italo_romance,Lombard
cat,eng,0.104277,0.895723,english,English
cat,fra,0.104686,0.895314,romance,French
cat,sc,0.130097,0.869903,italo_romance,Sardinian
cat,vec,0.158381,0.841619,italo_romance,Venetian
cat,lij,0.172937,0.827063,italo_romance,Ligurian
cat,fur,0.173391,0.826609,italo_romance,Friulian
cat,scn,0.189248,0.810752,italo_romance,Sicilian
cat,deu,0.192273,0.807727,germanic,German
cat,slv,0.226929,0.773071,slavic,Slovenian
deu,eng,0.114323,0.885677,english,English
deu,ita,0.154068,0.845932,italian,Italian
deu,lmo,0.159701,0.840299,italo_romance,Lombard
deu,spa,0.180735,0.819265,romance,Spanish
deu,fra,0.183375,0.816625,romance,French
deu,sc,0.191705,0.808295,italo_romance,Sardinian
deu,cat,0.192273,0.807727,romance,Catalan
deu,slv,0.192969,0.807031,slavic,Slovenian
deu,fur,0.234028,0.765972,italo_romance,Friulian
deu,vec,0.240483,0.759517,italo_romance,Venetian
deu,lij,0.249420,0.750580,italo_romance,Ligurian
deu,scn,0.279418,0.720582,italo_romance,Sicilian
eng,ita,0.077105,0.922895,italian,Italian
eng,spa,0.093712,0.906288,romance,Spanish
eng,fra,0.100205,0.899795,romance,French
eng,cat,0.104277,0.895723,romance,Catalan
eng,deu,0.114323,0.885677,germanic,German
eng,lmo,0.133535,0.866465,italo_romance,Lombard
eng,sc,0.138558,0.861442,italo_romance,Sardinian
eng,vec,0.156964,0.843036,italo_romance,Venetian
eng,fur,0.182937,0.817063,italo_romance,Friulian
eng,lij,0.183482,0.816518,italo_romance,Ligurian
eng,slv,0.188328,0.811672,slavic,Slovenian
eng,scn,0.234073,0.765927,italo_romance,Sicilian
fra,eng,0.100205,0.899795,english,English
fra,cat,0.104686,0.895314,romance,Catalan
fra,ita,0.116950,0.883050,italian,Italian
fra,spa,0.131354,0.868646,romance,Spanish
fra,lmo,0.152121,0.847879,italo_romance,Lombard
fra,fur,0.152379,0.847621,italo_romance,Friulian
fra,lij,0.161578,0.838422,italo_romance,Ligurian
fra,sc,0.170767,0.829233,italo_romance,Sardinian
fra,deu,0.183375,0.816625,germanic,German
fra,vec,0.187334,0.812666,italo_romance,Venetian
fra,scn,0.217693,0.782307,italo_romance,Sicilian
fra,slv,0.246005,0.753995,slavic,Slovenian
fur,lij,0.115674,0.884326,italo_romance,Ligurian
fur,lmo,0.119394,0.880606,italo_romance,Lombard
fur,ita,0.133379,0.866621,italian,Italian
fur,fra,0.152379,0.847621,romance,French
fur,sc,0.153439,0.846561,italo_romance,Sardinian
fur,vec,0.156435,0.843565,italo_romance,Venetian
fur,scn,0.157617,0.842383,italo_romance,Sicilian
fur,cat,0.173391,0.826609,romance,Catalan
fur,eng,0.182937,0.817063,english,English
fur,slv,0.197653,0.802347,slavic,Slovenian
fur,spa,0.211981,0.788019,romance,Spanish
fur,deu,0.234028,0.765972,germanic,German
ita,lmo,0.060852,0.939148,italo_romance,Lombard
ita,vec,0.070705,0.929295,italo_romance,Venetian
ita,eng,0.077105,0.922895,english,English
ita,sc,0.087999,0.912001,italo_romance,Sardinian
ita,cat,0.093843,0.906157,romance,Catalan
ita,spa,0.099806,0.900194,romance,Spanish
ita,lij,0.108207,0.891793,italo_romance,Ligurian
ita,fra,0.116950,0.883050,romance,French
ita,scn,0.122906,0.877094,italo_romance,Sicilian
ita,fur,0.133379,0.866621,italo_romance,Friulian
ita,slv,0.153031,0.846969,slavic,Slovenian
ita,deu,0.154068,0.845932,germanic,German
lij,ita,0.108207,0.891793,italian,Italian
lij,fur,0.115674,0.884326,italo_romance,Friulian
lij,lmo,0.119277,0.880723,italo_romance,Lombard
lij,vec,0.121343,0.878657,italo_romance,Venetian
lij,sc,0.153895,0.846105,italo_romance,Sardinian
lij,fra,0.161578,0.838422,romance,French
lij,scn,0.171257,0.828743,italo_romance,Sicilian
lij,cat,0.172937,0.827063,romance,Catalan
lij,eng,0.183482,0.816518,english,English
lij,spa,0.203247,0.796753,romance,Spanish
lij,slv,0.234519,0.765481,slavic,Slovenian
lij,deu,0.249420,0.750580,germanic,German
lmo,ita,0.060852,0.939148,italian,Italian
lmo,sc,0.089301,0.910699,italo_romance,Sardinian
lmo,vec,0.093445,0.906555,italo_romance,Venetian
lmo,cat,0.094278,0.905722,romance,Catalan
lmo,scn,0.115727,0.884273,italo_romance,Sicilian
lmo,lij,0.119277,0.880723,italo_romance,Ligurian
lmo,fur,0.119394,0.880606,italo_romance,Friulian
lmo,eng,0.133535,0.866465,english,English
lmo,spa,0.141762,0.858238,romance,Spanish
lmo,fra,0.152121,0.847879,romance,French
lmo,deu,0.159701,0.840299,germanic,German
lmo,slv,0.181707,0.818293,slavic,Slovenian
sc,ita,0.087999,0.912001,italian,Italian
sc,lmo,0.089301,0.910699,italo_romance,Lombard
