Silhouette report (canine (OLDI, native + 13 var, no-iso))
============================================================
  n_varieties           = 13
  linkage_method        = average
  silhouette (family)            = -0.1421
  silhouette (romance vs rest)   = +0.2082
  silhouette (romance, no dial.) = +0.1609

Notes:
  Silhouette range [-1, 1].  >0.5 excellent, >0.2 good, ~0 no structure.

Per-variety silhouette scores (sorted descending):
  variety               family            silhouette
  ----------------------------------------------------
  cat                   romance              +0.0022
  eng                   english              +0.0000
  slv                   slavic               +0.0000
  deu                   germanic             +0.0000
  ita                   italian              +0.0000
  fur                   italo_romance        -0.0508
  spa                   romance              -0.1239
  scn                   italo_romance        -0.1418
  fra                   romance              -0.1510
  lij                   italo_romance        -0.2060
  sc                    italo_romance        -0.2813
  lmo                   italo_romance        -0.4336
  vec                   italo_romance        -0.4615
