,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,1.000000,0.884326,0.880606,0.846561,0.842383,0.843565,0.866621,0.788019,0.847621,0.826609,0.765972,0.802347,0.817063
lij,0.884326,1.000000,0.880723,0.846105,0.828743,0.878657,0.891793,0.796753,0.838422,0.827063,0.750580,0.765481,0.816518
lmo,0.880606,0.880723,1.000000,0.910699,0.884273,0.906555,0.939148,0.858238,0.847879,0.905722,0.840299,0.818293,0.866465
sc,0.846561,0.846105,0.910699,1.000000,0.899095,0.885300,0.912001,0.841493,0.829233,0.869903,0.808295,0.777983,0.861442
scn,0.842383,0.828743,0.884273,0.899095,1.000000,0.829416,0.877094,0.750650,0.782307,0.810752,0.720582,0.739041,0.765927
vec,0.843565,0.878657,0.906555,0.885300,0.829416,1.000000,0.929295,0.845185,0.812666,0.841619,0.759517,0.796724,0.843036
ita,0.866621,0.891793,0.939148,0.912001,0.877094,0.929295,1.000000,0.900194,0.883050,0.906157,0.845932,0.846969,0.922895
spa,0.788019,0.796753,0.858238,0.841493,0.750650,0.845185,0.900194,1.000000,0.868646,0.917420,0.819265,0.812496,0.906288
fra,0.847621,0.838422,0.847879,0.829233,0.782307,0.812666,0.883050,0.868646,1.000000,0.895314,0.816625,0.753995,0.899795
cat,0.826609,0.827063,0.905722,0.869903,0.810752,0.841619,0.906157,0.917420,0.895314,1.000000,0.807727,0.773071,0.895723
deu,0.765972,0.750580,0.840299,0.808295,0.720582,0.759517,0.845932,0.819265,0.816625,0.807727,1.000000,0.807031,0.885677
slv,0.802347,0.765481,0.818293,0.777983,0.739041,0.796724,0.846969,0.812496,0.753995,0.773071,0.807031,1.000000,0.811672
eng,0.817063,0.816518,0.866465,0.861442,0.765927,0.843036,0.922895,0.906288,0.899795,0.895723,0.885677,0.811672,1.000000
