# Global clustering metrics
metric,value,clusterer
silhouette_global,-0.114104,family_labels
davies_bouldin,1.476937,family_labels
calinski_harabasz,0.970272,family_labels
cophenetic_correlation,0.568226,hierarchical
adjusted_rand_index,0.059211,hierarchical_cut
normalized_mutual_info,0.589000,hierarchical_cut
v_measure,0.589000,hierarchical_cut
adjusted_rand_index,-0.006734,kmeans
normalized_mutual_info,0.540440,kmeans
v_measure,0.540440,kmeans

# Per-variety silhouette scores
variety,family,silhouette
cat,romance,0.243168
spa,romance,0.059967
ita,italian,0.000000
deu,germanic,0.000000
slv,slavic,0.000000
eng,english,0.000000
fra,romance,-0.026859
lij,italo_romance,-0.202748
sc,italo_romance,-0.242516
lmo,italo_romance,-0.263533
fur,italo_romance,-0.288956
vec,italo_romance,-0.364951
scn,italo_romance,-0.396925
