Silhouette report (canine (with-iso, oldi))
============================================================
  n_varieties           = 13
  linkage_method        = average
  silhouette (family)   = -0.1141
  silhouette (romance)  = -0.0306

Notes:
  Silhouette range [-1, 1].  >0.5 excellent, >0.2 good, ~0 no structure.

Per-variety silhouette scores (sorted descending):
  variety               family            silhouette
  ----------------------------------------------------
  cat                   romance              +0.2432
  spa                   romance              +0.0600
  eng                   english              +0.0000
  slv                   slavic               +0.0000
  deu                   germanic             +0.0000
  ita                   italian              +0.0000
  fra                   romance              -0.0269
  lij                   italo_romance        -0.2027
  sc                    italo_romance        -0.2425
  lmo                   italo_romance        -0.2635
  fur                   italo_romance        -0.2890
  vec                   italo_romance        -0.3650
  scn                   italo_romance        -0.3969
