variety_A,variety_B,mean_similarity,family_A,family_B
vec,ita,0.982096,italo_romance,italian
spa,cat,0.979979,romance,romance
fra,cat,0.978265,romance,romance
lmo,cat,0.976391,italo_romance,romance
ita,spa,0.975793,italian,romance
vec,spa,0.975122,italo_romance,romance
ita,cat,0.971722,italian,romance
lij,ita,0.971404,italo_romance,italian
lmo,ita,0.969766,italo_romance,italian
spa,fra,0.969335,romance,romance
lij,vec,0.968843,italo_romance,italo_romance
fur,fra,0.967466,italo_romance,romance
fur,cat,0.967098,italo_romance,romance
vec,cat,0.966904,italo_romance,romance
lmo,spa,0.964542,italo_romance,romance
lmo,fra,0.964145,italo_romance,romance
lmo,vec,0.962896,italo_romance,italo_romance
fur,lmo,0.962133,italo_romance,italo_romance
sc,spa,0.962031,italo_romance,romance
ita,fra,0.961507,italian,romance
lij,spa,0.957414,italo_romance,romance
sc,cat,0.957163,italo_romance,romance
fur,ita,0.956849,italo_romance,italian
sc,ita,0.955553,italo_romance,italian
fur,spa,0.955172,italo_romance,romance
lij,lmo,0.955017,italo_romance,italo_romance
deu,eng,0.954846,germanic,english
vec,fra,0.954709,italo_romance,romance
lmo,sc,0.952785,italo_romance,italo_romance
sc,fra,0.952322,italo_romance,romance
lij,cat,0.951685,italo_romance,romance
fur,vec,0.948653,italo_romance,italo_romance
fra,eng,0.947282,romance,english
sc,vec,0.946885,italo_romance,italo_romance
fur,sc,0.942064,italo_romance,italo_romance
cat,eng,0.938717,romance,english
lij,sc,0.938585,italo_romance,italo_romance
scn,ita,0.938063,italo_romance,italian
lij,fra,0.937038,italo_romance,romance
sc,scn,0.936552,italo_romance,italo_romance
deu,slv,0.934755,germanic,slavic
lmo,scn,0.933204,italo_romance,italo_romance
slv,eng,0.931491,slavic,english
spa,eng,0.930544,romance,english
fur,eng,0.927330,italo_romance,english
fur,lij,0.927191,italo_romance,italo_romance
fur,scn,0.925507,italo_romance,italo_romance
lmo,eng,0.924111,italo_romance,english
fra,deu,0.924043,romance,germanic
scn,cat,0.922787,italo_romance,romance
fra,slv,0.921681,romance,slavic
ita,eng,0.921219,italian,english
cat,slv,0.919973,romance,slavic
spa,slv,0.918817,romance,slavic
lij,scn,0.918387,italo_romance,italo_romance
scn,spa,0.915678,italo_romance,romance
fur,slv,0.915644,italo_romance,slavic
sc,eng,0.915589,italo_romance,english
scn,vec,0.914841,italo_romance,italo_romance
ita,slv,0.913501,italian,slavic
vec,eng,0.913261,italo_romance,english
scn,fra,0.912247,italo_romance,romance
vec,slv,0.911943,italo_romance,slavic
lmo,slv,0.910225,italo_romance,slavic
cat,deu,0.907285,romance,germanic
lij,eng,0.898023,italo_romance,english
lmo,deu,0.897416,italo_romance,germanic
fur,deu,0.897211,italo_romance,germanic
spa,deu,0.894098,romance,germanic
sc,slv,0.893379,italo_romance,slavic
lij,slv,0.892204,italo_romance,slavic
ita,deu,0.884344,italian,germanic
sc,deu,0.880733,italo_romance,germanic
scn,eng,0.875922,italo_romance,english
vec,deu,0.875677,italo_romance,germanic
scn,slv,0.872158,italo_romance,slavic
lij,deu,0.861488,italo_romance,germanic
scn,deu,0.845240,italo_romance,germanic
