code,nn_1,dist_1,nn_2,dist_2,nn_3,dist_3
fur,cat,0.004128217697143555,fra,0.00501251220703125,lmo,0.005353450775146484
lij,ita,0.0028580427169799805,vec,0.0028946399688720703,spa,0.004297614097595215
lmo,cat,0.0018272995948791504,vec,0.004523634910583496,spa,0.0048947930335998535
sc,spa,0.00720524787902832,cat,0.007615566253662109,fra,0.008966803550720215
scn,fur,0.01088559627532959,lmo,0.012793958187103271,ita,0.013030827045440674
vec,spa,0.00166243314743042,ita,0.001672208309173584,lij,0.0028946399688720703
ita,vec,0.001672208309173584,spa,0.002015531063079834,lij,0.0028580427169799805
spa,vec,0.00166243314743042,cat,0.0019327402114868164,ita,0.002015531063079834
fra,cat,0.0026057958602905273,spa,0.0034130215644836426,fur,0.00501251220703125
cat,lmo,0.0018272995948791504,spa,0.0019327402114868164,fra,0.0026057958602905273
deu,eng,0.007701277732849121,slv,0.01630687713623047,fra,0.02437281608581543
slv,eng,0.01549077033996582,deu,0.01630687713623047,spa,0.01665729284286499
eng,deu,0.007701277732849121,slv,0.01549077033996582,fra,0.018057942390441895
