,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,1.000000,0.991390,0.994647,0.989529,0.989114,0.993389,0.994557,0.993882,0.994987,0.995872,0.966109,0.981601,0.975776
lij,0.991390,1.000000,0.994350,0.987762,0.981707,0.997105,0.997142,0.995702,0.991436,0.994705,0.964110,0.980452,0.973567
lmo,0.994647,0.994350,1.000000,0.989492,0.987206,0.995476,0.994863,0.995105,0.993016,0.998173,0.968641,0.981587,0.974170
sc,0.989529,0.987762,0.989492,1.000000,0.986449,0.989130,0.990245,0.992795,0.991033,0.992384,0.964103,0.973439,0.973633
scn,0.989114,0.981707,0.987206,0.986449,1.000000,0.981283,0.986969,0.982419,0.980780,0.985389,0.946703,0.966665,0.957529
vec,0.993389,0.997105,0.995476,0.989130,0.981283,1.000000,0.998328,0.998338,0.993880,0.997058,0.967829,0.982756,0.976727
ita,0.994557,0.997142,0.994863,0.990245,0.986969,0.998328,1.000000,0.997984,0.994494,0.996670,0.965599,0.980362,0.975510
spa,0.993882,0.995702,0.995105,0.992795,0.982419,0.998338,0.997984,1.000000,0.996587,0.998067,0.971860,0.983343,0.979776
fra,0.994987,0.991436,0.993016,0.991033,0.980780,0.993880,0.994494,0.996587,1.000000,0.997394,0.975627,0.981137,0.981942
cat,0.995872,0.994705,0.998173,0.992384,0.985389,0.997058,0.996670,0.998067,0.997394,1.000000,0.972311,0.982455,0.978670
deu,0.966109,0.964110,0.968641,0.964103,0.946703,0.967829,0.965599,0.971860,0.975627,0.972311,1.000000,0.983693,0.992299
slv,0.981601,0.980452,0.981587,0.973439,0.966665,0.982756,0.980362,0.983343,0.981137,0.982455,0.983693,1.000000,0.984509
eng,0.975776,0.973567,0.974170,0.973633,0.957529,0.976727,0.975510,0.979776,0.981942,0.978670,0.992299,0.984509,1.000000
