code,nn_1,dist_1,nn_2,dist_2,nn_3,dist_3
fur,lmo,0.0027091503143310547,ita,0.0036612749099731445,vec,0.0036895275115966797
lij,vec,0.0017060637474060059,ita,0.002949357032775879,lmo,0.003813505172729492
lmo,vec,0.0022450685501098633,fur,0.0027091503143310547,cat,0.0034106969833374023
sc,cat,0.006509542465209961,spa,0.0069388747215271,fur,0.007146060466766357
scn,fur,0.011212408542633057,lmo,0.014940261840820312,ita,0.016318440437316895
vec,lij,0.0017060637474060059,ita,0.002057194709777832,lmo,0.0022450685501098633
ita,vec,0.002057194709777832,lij,0.002949357032775879,fur,0.0036612749099731445
spa,cat,0.0019758939743041992,vec,0.0027166008949279785,ita,0.004229307174682617
fra,cat,0.0034288763999938965,spa,0.004988908767700195,vec,0.008314788341522217
cat,spa,0.0019758939743041992,vec,0.0026673078536987305,lmo,0.0034106969833374023
deu,eng,0.008115053176879883,fra,0.009601473808288574,cat,0.01195681095123291
slv,vec,0.009615123271942139,lij,0.010537981986999512,fur,0.011957764625549316
eng,cat,0.007832169532775879,deu,0.008115053176879883,vec,0.008359789848327637
