code,n_available,n_used,sample_size_param,random_state,model_name
veneto,2009,2009,2009,42,google/canine-c
siciliano,2009,2009,2009,42,google/canine-c
lombardo,2009,2009,2009,42,google/canine-c
sardo,2009,2009,2009,42,google/canine-c
ligure,2009,2009,2009,42,google/canine-c
friulano,2009,2009,2009,42,google/canine-c
ladino,2009,2009,2009,42,google/canine-c
italiano,2009,2009,2009,42,google/canine-c
spagnolo,2009,2009,2009,42,google/canine-c
francese,2009,2009,2009,42,google/canine-c
catalano,2009,2009,2009,42,google/canine-c
tedesco,2009,2009,2009,42,google/canine-c
inglese,2009,2009,2009,42,google/canine-c
greco,2009,2009,2009,42,google/canine-c
arabo,2009,2009,2009,42,google/canine-c
sloveno,2009,2009,2009,42,google/canine-c
