# Global clustering metrics
metric,value,clusterer
silhouette_global,0.087262,family_labels
davies_bouldin,0.708922,family_labels
calinski_harabasz,3.815086,family_labels
cophenetic_correlation,0.955468,hierarchical
adjusted_rand_index,0.286713,hierarchical_cut
normalized_mutual_info,0.853086,hierarchical_cut
v_measure,0.853086,hierarchical_cut
adjusted_rand_index,0.365145,kmeans
normalized_mutual_info,0.873438,kmeans
v_measure,0.873438,kmeans

# Per-variety silhouette scores
variety,family,silhouette
slv,slavic,0.797861
hrv,slavic,0.796736
spa,iberian_rom,0.430189
por,iberian_rom,0.216631
fra,gallo_romance,0.019557
eng,english,0.000000
deu,germanic,0.000000
fur,rhaeto_romance,0.000000
ita,tuscan,0.000000
scn,south_italo,0.000000
sc,sardinian,0.000000
hun,uralic,0.000000
lmo,cisalpine,-0.029170
lij,cisalpine,-0.088448
cat,iberian_rom,-0.164036
vec,cisalpine,-0.231594
oci,gallo_romance,-0.264263
