,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,por,oci,deu,eng,slv,hrv,hun
fur,0.000000,0.239886,0.154283,0.276764,0.361644,0.179810,0.184555,0.239722,0.181982,0.190612,0.264915,0.201711,0.525344,0.281290,0.604817,0.597087,0.648163
lij,0.239886,0.000000,0.197045,0.325414,0.305127,0.141693,0.154389,0.288370,0.321922,0.306333,0.229655,0.295923,0.550641,0.374646,0.518412,0.518750,0.640352
lmo,0.154283,0.197045,0.000000,0.260949,0.296638,0.120793,0.191773,0.185212,0.214319,0.132498,0.243493,0.128538,0.446802,0.301492,0.489797,0.478981,0.590483
sc,0.276764,0.325414,0.260949,0.000000,0.336855,0.239770,0.209717,0.171210,0.290504,0.209972,0.194624,0.234428,0.523449,0.369337,0.519304,0.487466,0.680818
scn,0.361644,0.305127,0.296638,0.336855,0.000000,0.278622,0.251243,0.444824,0.498519,0.418964,0.423286,0.422277,0.673898,0.515427,0.551073,0.522788,0.736643
vec,0.179810,0.141693,0.120793,0.239770,0.278622,0.000000,0.100848,0.185991,0.289318,0.206108,0.180667,0.232868,0.510418,0.325883,0.418962,0.421542,0.685976
ita,0.184555,0.154389,0.191773,0.209717,0.251243,0.100848,0.000000,0.184168,0.265837,0.209656,0.193530,0.235380,0.525184,0.327494,0.492729,0.505427,0.722358
spa,0.239722,0.288370,0.185212,0.171210,0.444824,0.185991,0.184168,0.000000,0.218102,0.079936,0.102528,0.102116,0.478924,0.318783,0.518679,0.532176,0.622312
fra,0.181982,0.321922,0.214319,0.290504,0.498519,0.289318,0.265837,0.218102,0.000000,0.182148,0.311322,0.178423,0.471065,0.304667,0.641965,0.638801,0.670959
cat,0.190612,0.306333,0.132498,0.209972,0.418964,0.206108,0.209656,0.079936,0.182148,0.000000,0.200682,0.052438,0.503366,0.307820,0.575710,0.576283,0.619341
por,0.264915,0.229655,0.243493,0.194624,0.423286,0.180667,0.193530,0.102528,0.311322,0.200682,0.000000,0.239262,0.551228,0.354379,0.492418,0.492064,0.608907
oci,0.201711,0.295923,0.128538,0.234428,0.422277,0.232868,0.235380,0.102116,0.178423,0.052438,0.239262,0.000000,0.557555,0.358452,0.609995,0.611850,0.664246
deu,0.525344,0.550641,0.446802,0.523449,0.673898,0.510418,0.525184,0.478924,0.471065,0.503366,0.551228,0.557555,0.000000,0.487927,0.622994,0.649193,0.588374
eng,0.281290,0.374646,0.301492,0.369337,0.515427,0.325883,0.327494,0.318783,0.304667,0.307820,0.354379,0.358452,0.487927,0.000000,0.610328,0.621437,0.609319
slv,0.604817,0.518412,0.489797,0.519304,0.551073,0.418962,0.492729,0.518679,0.641965,0.575710,0.492418,0.609995,0.622994,0.610328,0.000000,0.096162,0.708627
hrv,0.597087,0.518750,0.478981,0.487466,0.522788,0.421542,0.505427,0.532176,0.638801,0.576283,0.492064,0.611850,0.649193,0.621437,0.096162,0.000000,0.760796
hun,0.648163,0.640352,0.590483,0.680818,0.736643,0.685976,0.722358,0.622312,0.670959,0.619341,0.608907,0.664246,0.588374,0.609319,0.708627,0.760796,0.000000
