code,nn_1,dist_1,nn_2,dist_2,nn_3,dist_3
fur,lmo,0.15428346395492554,vec,0.1798100471496582,fra,0.18198180198669434
lij,vec,0.14169257879257202,ita,0.15438860654830933,lmo,0.1970454454421997
lmo,vec,0.12079274654388428,oci,0.1285383701324463,cat,0.1324979066848755
sc,spa,0.17121028900146484,por,0.19462376832962036,ita,0.20971709489822388
scn,ita,0.251242995262146,vec,0.2786223292350769,lmo,0.29663825035095215
vec,ita,0.10084766149520874,lmo,0.12079274654388428,lij,0.14169257879257202
ita,vec,0.10084766149520874,lij,0.15438860654830933,spa,0.18416815996170044
spa,cat,0.07993566989898682,oci,0.10211628675460815,por,0.10252827405929565
fra,oci,0.17842280864715576,fur,0.18198180198669434,cat,0.18214809894561768
cat,oci,0.05243825912475586,spa,0.07993566989898682,lmo,0.1324979066848755
por,spa,0.10252827405929565,vec,0.1806672215461731,ita,0.19352978467941284
oci,cat,0.05243825912475586,spa,0.10211628675460815,lmo,0.1285383701324463
deu,lmo,0.44680213928222656,fra,0.4710649847984314,spa,0.47892385721206665
eng,fur,0.2812904715538025,lmo,0.3014916777610779,fra,0.30466651916503906
slv,hrv,0.09616243839263916,vec,0.4189620018005371,lmo,0.48979651927948
hrv,slv,0.09616243839263916,vec,0.42154163122177124,lmo,0.47898054122924805
hun,deu,0.5883740782737732,lmo,0.5904831290245056,por,0.6089068651199341
