dialect,reference,ref_family,mean_similarity
fur,fra,romance,0.756395
fur,cat,romance,0.748195
fur,ita,italian,0.747501
fur,oci,romance,0.742335
fur,spa,romance,0.703420
fur,por,romance,0.676878
fur,eng,english,0.662410
fur,deu,germanic,0.442506
fur,hrv,slavic,0.379677
fur,slv,slavic,0.371076
fur,hun,uralic,0.337055
lij,ita,italian,0.776789
lij,por,romance,0.709368
lij,spa,romance,0.657412
lij,oci,romance,0.656218
lij,cat,romance,0.642121
lij,fra,romance,0.625756
lij,eng,english,0.576701
lij,hrv,slavic,0.445274
lij,slv,slavic,0.443514
lij,deu,germanic,0.416269
lij,hun,uralic,0.340065
lmo,oci,romance,0.782041
lmo,cat,romance,0.776182
lmo,spa,romance,0.728158
lmo,ita,italian,0.722826
lmo,fra,romance,0.701976
lmo,por,romance,0.677512
lmo,eng,english,0.624891
lmo,deu,germanic,0.496899
lmo,hrv,slavic,0.466966
lmo,slv,slavic,0.456238
lmo,hun,uralic,0.375885
sc,spa,romance,0.776937
sc,por,romance,0.754453
sc,cat,romance,0.738777
sc,oci,romance,0.724604
sc,ita,italian,0.724485
sc,fra,romance,0.667995
sc,eng,english,0.592188
sc,hrv,slavic,0.476995
sc,deu,germanic,0.449019
sc,slv,slavic,0.448215
sc,hun,uralic,0.309015
scn,ita,italian,0.697899
scn,cat,romance,0.546301
scn,oci,romance,0.545868
scn,por,romance,0.541465
scn,spa,romance,0.522520
scn,fra,romance,0.472428
scn,eng,english,0.456380
scn,hrv,slavic,0.443482
scn,slv,slavic,0.416929
scn,deu,germanic,0.309425
scn,hun,uralic,0.257950
vec,ita,italian,0.827083
vec,por,romance,0.745440
vec,spa,romance,0.742653
vec,cat,romance,0.726195
vec,oci,romance,0.705395
vec,fra,romance,0.647026
vec,eng,english,0.615520
vec,slv,slavic,0.525251
vec,hrv,slavic,0.525111
vec,deu,germanic,0.446945
vec,hun,uralic,0.299408
