# Global clustering metrics
metric,value,clusterer
silhouette_global,0.046475,family_labels
davies_bouldin,1.009709,family_labels
calinski_harabasz,4.692037,family_labels
cophenetic_correlation,0.963801,hierarchical
adjusted_rand_index,0.301622,hierarchical_cut
normalized_mutual_info,0.717031,hierarchical_cut
v_measure,0.717031,hierarchical_cut
adjusted_rand_index,0.286713,kmeans
normalized_mutual_info,0.693701,kmeans
v_measure,0.693701,kmeans

# Per-variety silhouette scores
variety,family,silhouette
hrv,slavic,0.834376
slv,slavic,0.832511
oci,romance,0.442859
cat,romance,0.436727
spa,romance,0.355705
fra,romance,0.204751
eng,english,0.000000
deu,germanic,0.000000
hun,uralic,0.000000
ita,italian,0.000000
por,romance,-0.096910
sc,italo_romance,-0.196717
scn,italo_romance,-0.255506
fur,italo_romance,-0.294996
lmo,italo_romance,-0.350246
lij,italo_romance,-0.527237
vec,italo_romance,-0.595248
